,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
2,"                                2
                            ",1,English - Maths-1, , , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3, , , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3, , , , 
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4, , , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4, , , , 
11,"                                11
                            ",4,English - Maths-4, , , , 
12,"                                12
                            ",5,English - EVS-5, , , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5, , , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5, , , , 
15,"                                15
                            ",5,English - Maths-5, , , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6, , , , 
17,"                                17
                            ",6,English - Maths-6, , , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6, , , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6, , , , 
20,"                                20
                            ",6,English - SCIENCE-6 , , , , 
21,"                                21
                            ",6,English - Soc. Science-6, , , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7, , , , 
23,"                                23
                            ",7,English - Maths-7, , , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7, , , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7, , , , 
26,"                                26
                            ",7,English - Science-7, , , , 
27,"                                27
                            ",7,English - Social Science-7, , , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8, , , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8, , , , 
30,"                                30
                            ",8,English - Maths-8, , , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8, , , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8, , , , 
33,"                                33
                            ",8,English - Science-8, , , , 
34,"                                34
                            ",8,English - Social Science-8, , , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,10713,7490,69,31
36,"                                36
                            ",1,Hindi - GANIT -1,10713,1850,17,83
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,10713,3930,36,64
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,11625,6033,51,49
39,"                                39
                            ",2,Hindi - GANIT -2,11625,3391,29,71
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,11625,4451,38,62
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,11393,4689,41,59
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,11393,4359,38,62
43,"                                43
                            ",3,Hindi - GANIT -3,11393,4719,41,59
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,11393,4839,42,58
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,13711,2559,18,82
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,13711,6519,47,53
47,"                                47
                            ",4,Hindi - GANIT -4,13711,6399,46,54
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,13711,3959,28,72
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),14854,4731,31,69
