,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1,105, , , 
2,"                                2
                            ",1,English - Maths-1,110, , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2,115, , , 
4,"                                4
                            ",2,English - Maths-2,65, , , 
5,"                                5
                            ",3,English - EVS-3,160, , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3,65, , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,160, , , 
8,"                                8
                            ",3,English - Maths-3,55, , , 
9,"                                9
                            ",4,English - EVS-4,105, , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,160, , , 
11,"                                11
                            ",4,English - Maths-4,105, , , 
12,"                                12
                            ",5,English - EVS-5,115, , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,105, , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,115, , , 
15,"                                15
                            ",5,English - Maths-5,115, , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,115, , , 
17,"                                17
                            ",6,English - Maths-6,123, , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,140, , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,123, , , 
20,"                                20
                            ",6,English - SCIENCE-6 ,123, , , 
21,"                                21
                            ",6,English - Soc. Science-6,123, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,140, , , 
23,"                                23
                            ",7,English - Maths-7,110, , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,140, , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,140, , , 
26,"                                26
                            ",7,English - Science-7,65, , , 
27,"                                27
                            ",7,English - Social Science-7,65, , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,65, , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,71, , , 
30,"                                30
                            ",8,English - Maths-8,65, , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,65, , , 
