,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1,64, , , 
2,"                                2
                            ",1,English - Maths-1,38, , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2,42, , , 
4,"                                4
                            ",2,English - Maths-2,38, , , 
5,"                                5
                            ",3,English - EVS-3,320, , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3,35, , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,320, , , 
8,"                                8
                            ",3,English - Maths-3,52, , , 
9,"                                9
                            ",4,English - EVS-4,331, , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,320, , , 
11,"                                11
                            ",4,English - Maths-4,331, , , 
12,"                                12
                            ",5,English - EVS-5,259, , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,331, , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,259, , , 
15,"                                15
                            ",5,English - Maths-5,259, , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,259, , , 
17,"                                17
                            ",6,English - Maths-6,238, , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,198, , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,243, , , 
20,"                                20
                            ",6,English - SCIENCE-6 ,243, , , 
21,"                                21
                            ",6,English - Soc. Science-6,243, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,188, , , 
23,"                                23
                            ",7,English - Maths-7,38, , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,188, , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,188, , , 
26,"                                26
                            ",7,English - Science-7,38, , , 
27,"                                27
                            ",7,English - Social Science-7,20, , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,20, , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,10, , , 
30,"                                30
                            ",8,English - Maths-8,20, , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,20, , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,10, , , 
33,"                                33
                            ",8,English - Science-8,20, , , 
34,"                                34
                            ",8,English - Social Science-8,20, , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,39374,12051,30,70
36,"                                36
                            ",1,Hindi - GANIT -1,39374,6201,15,85
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,39374,13428,34,66
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,38879,11835,30,70
39,"                                39
                            ",2,Hindi - GANIT -2,38879,11835,30,70
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,38879,13185,33,67
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,36904,5987,16,84
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,36904,6074,16,84
43,"                                43
                            ",3,Hindi - GANIT -3,36904,6141,16,84
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,36904,7541,20,80
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,37911,5774,15,85
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,37911,5695,15,85
47,"                                47
                            ",4,Hindi - GANIT -4,37911,5733,15,85
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,37760,7000,18,82
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),37926,11701,30,70
50,"                                50
                            ",5,Hindi - ENVIRONMENTAL STUDY-5,37926,11663,30,70
51,"                                51
                            ",5,Hindi - GANIT -5,37926,11631,30,70
52,"                                52
                            ",5,Hindi - Language-English READER ( GENERAL SERIES) -5,37926,7800,20,80
53,"                                53
                            ",6,Hindi - BHASHA BHARTI-6,36825,5734,15,85
54,"                                54
                            ",6,Hindi - GANIT -6,37013,6031,16,84
55,"                                55
                            ",6,Hindi - Language-English READER ( GENERAL SERIES) -6,37013,5959,16,84
56,"                                56
                            ",6,Hindi - SAHAYAK WACHAN-6,37013,6049,16,84
57,"                                57
                            ",6,Hindi - SCIENCE-6 ,36905,7208,19,81
58,"                                58
                            ",6,Hindi - SOCIAL SCIENCE-6,37013,10828,29,71
59,"                                59
                            ",6,Hindi - SURBHI-6,36825,10534,28,72
60,"                                60
                            ",7,Hindi - BHASHA BHARTI -7,42216,7340,17,83
61,"                                61
                            ",7,Hindi - GANIT -7,42216,11927,28,72
62,"                                62
                            ",7,Hindi - Language-English READER ( GENERAL SERIES) -7,42216,7643,18,82
