,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
2,"                                2
                            ",1,English - Maths-1, , , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3,814, , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,814, , , 
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4,789, , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,814, , , 
11,"                                11
                            ",4,English - Maths-4,789, , , 
12,"                                12
                            ",5,English - EVS-5,793, , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,789, , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,793, , , 
15,"                                15
                            ",5,English - Maths-5,793, , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,793, , , 
17,"                                17
                            ",6,English - Maths-6,815, , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,692, , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,815, , , 
20,"                                20
                            ",6,English - SCIENCE-6 ,815, , , 
21,"                                21
                            ",6,English - Soc. Science-6,815, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,692, , , 
23,"                                23
                            ",7,English - Maths-7,344, , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,692, , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,692, , , 
26,"                                26
                            ",7,English - Science-7,344, , , 
27,"                                27
                            ",7,English - Social Science-7,344, , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,344, , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,182, , , 
30,"                                30
                            ",8,English - Maths-8,344, , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,182, , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,182, , , 
33,"                                33
                            ",8,English - Science-8,344, , , 
34,"                                34
                            ",8,English - Social Science-8,344, , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,17165,8353,48,52
36,"                                36
                            ",1,Hindi - GANIT -1,17165,8313,48,52
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,17165,8343,48,52
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,16770,7159,42,58
39,"                                39
                            ",2,Hindi - GANIT -2,16770,7159,42,58
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,16770,7185,42,58
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,16685,7892,47,53
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,16685,7491,44,56
43,"                                43
                            ",3,Hindi - GANIT -3,16685,7892,47,53
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,16685,7923,47,53
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,18248,8897,48,52
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,18248,8482,46,54
47,"                                47
                            ",4,Hindi - GANIT -4,18248,8897,48,52
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,18248,8923,48,52
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),16643,7772,46,54
