,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1,1103, , , 
2,"                                2
                            ",1,English - Maths-1,1156, , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2,963, , , 
4,"                                4
                            ",2,English - Maths-2,755, , , 
5,"                                5
                            ",3,English - EVS-3,1660,2762,166,-66
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3,278, , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,1659,2762,166,-66
8,"                                8
                            ",3,English - Maths-3,169, , , 
9,"                                9
                            ",4,English - EVS-4,1559, , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,1658, , , 
11,"                                11
                            ",4,English - Maths-4,1560, , , 
12,"                                12
                            ",5,English - EVS-5,1197, , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,1558, , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,1197, , , 
15,"                                15
                            ",5,English - Maths-5,1197, , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,1197, , , 
17,"                                17
                            ",6,English - Maths-6,900, , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,690,2762,400,-300
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,900, , , 
20,"                                20
                            ",6,English - SCIENCE-6 ,899, , , 
21,"                                21
                            ",6,English - Soc. Science-6,900, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,690,2765,400,-300
23,"                                23
                            ",7,English - Maths-7,210,2762,1315,-1215
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,690,2759,399,-299
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,690,2759,399,-299
26,"                                26
                            ",7,English - Science-7,210, , , 
27,"                                27
                            ",7,English - Social Science-7,210, , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,210, , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,145, , , 
30,"                                30
                            ",8,English - Maths-8,210, , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,145, , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,145, , , 
33,"                                33
                            ",8,English - Science-8,210, , , 
34,"                                34
                            ",8,English - Social Science-8,210, , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,14564,4445,30,70
36,"                                36
                            ",1,Hindi - GANIT -1,14564,3028,20,80
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,14564,4458,30,70
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,16791,16123,96,4
39,"                                39
                            ",2,Hindi - GANIT -2,16791,16043,95,5
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,16791,17030,101,-1
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,19948,19495,97,3
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,19948,26758,134,-34
43,"                                43
                            ",3,Hindi - GANIT -3,19948,5826,29,71
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,19948,19881,99,1
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,23540,23254,98,2
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,23540,22898,97,3
47,"                                47
                            ",4,Hindi - GANIT -4,23540,22866,97,3
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,23540,22974,97,3
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),20490,19548,95,5
50,"                                50
                            ",5,Hindi - ENVIRONMENTAL STUDY-5,20490,20239,98,2
51,"                                51
                            ",5,Hindi - GANIT -5,20490,19608,95,5
52,"                                52
                            ",5,Hindi - Language-English READER ( GENERAL SERIES) -5,20490,16162,78,22
53,"                                53
                            ",6,Hindi - BHASHA BHARTI-6,20394,15448,75,25
54,"                                54
                            ",6,Hindi - GANIT -6,20394,19609,96,4
55,"                                55
                            ",6,Hindi - Language-English READER ( GENERAL SERIES) -6,20394,18851,92,8
56,"                                56
                            ",6,Hindi - SAHAYAK WACHAN-6,20394,18904,92,8
57,"                                57
                            ",6,Hindi - SCIENCE-6 ,20394,18952,92,8
58,"                                58
                            ",6,Hindi - SOCIAL SCIENCE-6,20394,18835,92,8
59,"                                59
                            ",6,Hindi - SURBHI-6,20394,18900,92,8
60,"                                60
                            ",7,Hindi - BHASHA BHARTI -7,18545,16630,89,11
61,"                                61
                            ",7,Hindi - GANIT -7,18545,16630,89,11
62,"                                62
                            ",7,Hindi - Language-English READER ( GENERAL SERIES) -7,18545,16666,89,11
63,"                                63
                            ",7,Hindi - SAHAYAK WACHAN-7,18545,16627,89,11
64,"                                64
                            ",7,Hindi - SCIENCE-7 ,18545,16629,89,11
65,"                                65
                            ",7,Hindi - SOCIAL SCIENCE-7,18545,16592,89,11
66,"                                66
                            ",7,Hindi - SURBHI-7,18545,16594,89,11
67,"                                67
                            ",8,Hindi - BHASHA BHARTI (SPECIAL),17397,13023,74,26
68,"                                68
                            ",8,Hindi - GANIT -8,17397,12966,74,26
69,"                                69
                            ",8,Hindi - Language-English READER ( GENERAL SERIES) -8,17397,13052,75,25
70,"                                70
                            ",8,Hindi - SAHAYAK WACHAN-8,17397,13020,74,26
71,"                                71
                            ",8,Hindi - SCIENCE-8,17397,13022,74,26
72,"                                72
                            ",8,Hindi - SOCIAL SCIENCE-8,17397,12993,74,26
73,"                                73
                            ",8,Hindi - SURBHI-8,17397,12992,74,26
74,"                                74
                            ",1,Marathi - Language-English Reader (General Series) -1,145, , , 
75,"                                75
                            ",1,Marathi - Language-Marathi-1,145, , , 
76,"                                76
                            ",1,Marathi - Maths-1,145, , , 
77,"                                77
                            ",2,Marathi - Language-English Reader (General Series) -2,75, , , 
78,"                                78
                            ",2,Marathi - Language-Marathi-2,145, , , 
79,"                                79
                            ",2,Marathi - Maths-2,75, , , 
80,"                                80
                            ",3,Marathi - EVS-3,75, , , 
81,"                                81
                            ",3,Marathi - General Hindi-3,75, , , 
82,"                                82
                            ",3,Marathi - Language-English Reader (General Series) -3,75, , , 
83,"                                83
                            ",3,Marathi - Language-Marathi-3,75, , , 
84,"                                84
                            ",3,Marathi - Maths-3,75, , , 
85,"                                85
                            ",4,Marathi - EVS-4,802, , , 
86,"                                86
                            ",4,Marathi - Language-English Reader (General Series) -4,215, , , 
87,"                                87
                            ",4,Marathi - Language-Marathi-4,1335, , , 
88,"                                88
                            ",4,Marathi - Maths-4,1087, , , 
89,"                                89
                            ",5,Marathi - EVS-5, , , , 
90,"                                90
                            ",5,Marathi - Hindi General -5,95, , , 
91,"                                91
                            ",5,Marathi - Language-English Reader (General Series) -3, , , , 
92,"                                92
                            ",5,Marathi - Language-Marathi-5,155, , , 
93,"                                93
                            ",5,Marathi - Maths-5, , , , 
94,"                                94
                            ",6,Marathi - Language-English Reader (General Series) -3, , , , 
95,"                                95
                            ",6,Marathi - Language-Marathi Bhasha Bharti-6, , , , 
96,"                                96
                            ",6,Marathi - Maths-6, , , , 
97,"                                97
                            ",6,Marathi - Sahayak Vachan-6, , , , 
98,"                                98
                            ",6,Marathi - SCIENCE-6 , , , , 
99,"                                99
                            ",6,Marathi - Social Science-6, , , , 
100,"                                100
                            ",7,Marathi - Language-English Reader (General Series) -3, , , , 
101,"                                101
                            ",7,Marathi - Language-Marathi-7, , , , 
102,"                                102
                            ",7,Marathi - Marathi Sahayak Vachan-7, , , , 
103,"                                103
                            ",7,Marathi - Maths-7, , , , 
104,"                                104
                            ",7,Marathi - Science-7, , , , 
105,"                                105
                            ",7,Marathi - Social Science-7, , , , 
106,"                                106
                            ",8,Marathi - General Hindi-8, , , , 
107,"                                107
                            ",8,Marathi - Language-English Reader (General Series) -8, , , , 
108,"                                108
                            ",8,Marathi - Language-Marathi Bhasha Bharti-8, , , , 
109,"                                109
                            ",8,Marathi - Marathi Sahayak Vachan-7, , , , 
110,"                                110
                            ",8,Marathi - Maths-8, , , , 
111,"                                111
                            ",8,Marathi - Science-8, , , , 
112,"                                112
                            ",8,Marathi - Social Science-8, , , , 
113,"                                113
                            ",1,Urdu - Language-English Reader (General Series) -1, , , , 
114,"                                114
                            ",1,Urdu - Maths-1, , , , 
115,"                                115
                            ",1,Urdu - Urdu Bharti-1, , , , 
116,"                                116
                            ",2,Urdu - Language-English Reader (General Series) -2, ,1607, , 
117,"                                117
                            ",2,Urdu - Maths-2, , , , 
118,"                                118
                            ",2,Urdu - Urdu Bharti-2, , , , 
119,"                                119
                            ",3,Urdu - General Hindi-3, , , , 
120,"                                120
                            ",3,Urdu - Language-English Reader (General Series) -3, ,77, , 
121,"                                121
                            ",3,Urdu - Maths-3, ,1485, , 
122,"                                122
                            ",3,Urdu - Urdu Bharti-3, , , , 
123,"                                123
                            ",3,Urdu - Urdu Environment Science-3, ,82, , 
124,"                                124
                            ",4,Urdu - Environment Science-4, ,1376, , 
125,"                                125
                            ",4,Urdu - Language-English Reader (General Series) -4, ,73, , 
126,"                                126
                            ",4,Urdu - Maths-4, ,146, , 
127,"                                127
                            ",4,Urdu - Urdu Bharti-4, ,2831, , 
128,"                                128
                            ",5,Urdu - Environment Science-5, ,146, , 
129,"                                129
                            ",5,Urdu - General Hindi-5, ,2477, , 
130,"                                130
                            ",5,Urdu - Language-English Reader (General Series) -5, ,111, , 
131,"                                131
                            ",5,Urdu - Maths-5, ,1101, , 
132,"                                132
                            ",5,Urdu - Urdu Bharti-5, , , , 
133,"                                133
                            ",6,Urdu - Language-English Reader (General Series) -6, ,2101, , 
134,"                                134
                            ",6,Urdu - Maths-6, ,107, , 
135,"                                135
                            ",6,Urdu - Sahayak Wachan-6, ,117, , 
136,"                                136
                            ",6,Urdu - SCIENCE-6 , , , , 
137,"                                137
                            ",6,Urdu - Social Science-6, ,1020, , 
138,"                                138
                            ",6,Urdu - Urdu Bharti-6, ,55, , 
139,"                                139
                            ",7,Urdu - Language-English Reader (General Series) -7, ,1216, , 
140,"                                140
                            ",7,Urdu - Maths-7, ,117, , 
141,"                                141
                            ",7,Urdu - Sahayak Wachan-7, ,131, , 
142,"                                142
                            ",7,Urdu - Science-7, , , , 
143,"                                143
                            ",7,Urdu - Social Science-7, ,400, , 
144,"                                144
                            ",7,Urdu - Urdu Bharti-6, ,58, , 
145,"                                145
                            ",8,Urdu - Language-English Reader (General Series) -8, ,606, , 
146,"                                146
                            ",8,Urdu - Maths-8, ,118, , 
147,"                                147
                            ",8,Urdu - Sahayak Wachan-8, ,34, , 
148,"                                148
                            ",8,Urdu - Science-8, ,375, , 
149,"                                149
                            ",8,Urdu - Social Science-8, , , , 
150,"                                150
                            ",8,Urdu - Urdu Bharti-8, ,65, , 
151,"                                151
                            ",8,Urdu - Urdu Bharti-8, ,65, , 
