,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
2,"                                2
                            ",1,English - Maths-1, , , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3,180, , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,180, , , 
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4,130, , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,180, , , 
11,"                                11
                            ",4,English - Maths-4,130, , , 
12,"                                12
                            ",5,English - EVS-5,70, , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,130, , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,70, , , 
15,"                                15
                            ",5,English - Maths-5,70, , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,70, , , 
17,"                                17
                            ",6,English - Maths-6,70, , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,40, , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,70, , , 
20,"                                20
                            ",6,English - SCIENCE-6 ,70, , , 
21,"                                21
                            ",6,English - Soc. Science-6,70, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,40, , , 
23,"                                23
                            ",7,English - Maths-7,25, , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,40, , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,40, , , 
26,"                                26
                            ",7,English - Science-7,25, , , 
27,"                                27
                            ",7,English - Social Science-7,25, , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,25, , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,25, , , 
30,"                                30
                            ",8,English - Maths-8, , , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,25, , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,25, , , 
33,"                                33
                            ",8,English - Science-8,25, , , 
34,"                                34
                            ",8,English - Social Science-8, , , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,48625,27048,55,45
36,"                                36
                            ",1,Hindi - GANIT -1,49125,27868,56,44
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,48625,21051,43,57
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,48046,34774,72,28
39,"                                39
                            ",2,Hindi - GANIT -2,48046,32160,66,34
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,48046,35059,72,28
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,49115,40848,83,17
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,48975,40628,82,18
43,"                                43
                            ",3,Hindi - GANIT -3,49115,41764,85,15
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,49115,41113,83,17
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,49484,32789,66,34
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,49354,41551,84,16
47,"                                47
                            ",4,Hindi - GANIT -4,49484,38204,77,23
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,49484,41942,84,16
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),44776,36270,81,19
