,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
2,"                                2
                            ",1,English - Maths-1, , , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3,853, , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,853, , , 
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4,788, , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,853, , , 
11,"                                11
                            ",4,English - Maths-4,788, , , 
12,"                                12
                            ",5,English - EVS-5,1030, , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,788, , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,1030, , , 
15,"                                15
                            ",5,English - Maths-5,1030, , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,1030, , , 
17,"                                17
                            ",6,English - Maths-6,715, , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,916, , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,661, , , 
20,"                                20
                            ",6,English - SCIENCE-6 ,661, , , 
21,"                                21
                            ",6,English - Soc. Science-6,661, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,821, , , 
23,"                                23
                            ",7,English - Maths-7,381, , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,821, , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,821, , , 
26,"                                26
                            ",7,English - Science-7,381, , , 
27,"                                27
                            ",7,English - Social Science-7,495, , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,495, , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,380, , , 
30,"                                30
                            ",8,English - Maths-8,495, , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,495, , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,380, , , 
33,"                                33
                            ",8,English - Science-8,495, , , 
34,"                                34
                            ",8,English - Social Science-8,495, , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,21350,4729,22,78
36,"                                36
                            ",1,Hindi - GANIT -1,21350,27398,128,-28
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,21350,19266,90,10
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,26842,23320,86,14
39,"                                39
                            ",2,Hindi - GANIT -2,26842,23320,86,14
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,17537,9997,57,43
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,26456,23080,87,13
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,19524,27486,140,-40
43,"                                43
                            ",3,Hindi - GANIT -3,26456,17433,65,35
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,22884,27486,120,-20
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,34321,30390,88,12
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,34091,27043,79,21
47,"                                47
                            ",4,Hindi - GANIT -4,34091,30336,88,12
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,33690,34357,101,-1
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),32342,25317,78,22
