,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
2,"                                2
                            ",1,English - Maths-1, , , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3, , , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3, , , , 
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4, , , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4, , , , 
11,"                                11
                            ",4,English - Maths-4, , , , 
12,"                                12
                            ",5,English - EVS-5, , , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5, , , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5, , , , 
15,"                                15
                            ",5,English - Maths-5, , , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6, , , , 
17,"                                17
                            ",6,English - Maths-6, , , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6, , , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6, , , , 
20,"                                20
                            ",6,English - SCIENCE-6 , , , , 
21,"                                21
                            ",6,English - Soc. Science-6, , , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7, , , , 
23,"                                23
                            ",7,English - Maths-7, , , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7, , , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7, , , , 
26,"                                26
                            ",7,English - Science-7, , , , 
27,"                                27
                            ",7,English - Social Science-7, , , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8, , , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8, , , , 
30,"                                30
                            ",8,English - Maths-8, , , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8, , , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8, , , , 
33,"                                33
                            ",8,English - Science-8, , , , 
34,"                                34
                            ",8,English - Social Science-8, , , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,15807,7667,48,52
36,"                                36
                            ",1,Hindi - GANIT -1,20807,17717,85,15
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,15807,13031,82,18
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,20065,21103,105,-5
39,"                                39
                            ",2,Hindi - GANIT -2,20065,18610,92,8
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,20465,21532,105,-5
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,25134,30886,122,-22
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,23574,22504,95,5
43,"                                43
                            ",3,Hindi - GANIT -3,25054,27277,108,-8
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,25434,27858,109,-9
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,29923,31867,106,-6
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,28243,30373,107,-7
47,"                                47
                            ",4,Hindi - GANIT -4,29923,32064,107,-7
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,30323,32412,106,-6
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),29040,29544,101,-1
