,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1,4297,1396,32,68
2,"                                2
                            ",1,English - Maths-1,3896,1524,39,61
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2,3537,989,27,73
4,"                                4
                            ",2,English - Maths-2,1952,465,23,77
5,"                                5
                            ",3,English - EVS-3,15691,4631,29,71
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3,1519,725,47,53
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,22185,8606,38,62
8,"                                8
                            ",3,English - Maths-3,1363,387,28,72
9,"                                9
                            ",4,English - EVS-4,17659,8206,46,54
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,22316,3556,15,85
11,"                                11
                            ",4,English - Maths-4,11340,2313,20,80
12,"                                12
                            ",5,English - EVS-5,16376,6171,37,63
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,17608,2457,13,87
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,15423,6848,44,56
15,"                                15
                            ",5,English - Maths-5,10731,2057,19,81
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,16408,11750,71,29
17,"                                17
                            ",6,English - Maths-6,10366,1986,19,81
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,8896,12707,142,-42
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,15364,13185,85,15
20,"                                20
                            ",6,English - SCIENCE-6 ,15364,6136,39,61
21,"                                21
                            ",6,English - Soc. Science-6,14459,6237,43,57
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,12585,5300,42,58
23,"                                23
                            ",7,English - Maths-7,5529,20652,373,-273
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,12585,17391,138,-38
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,11860,5325,44,56
26,"                                26
                            ",7,English - Science-7,7878,5961,75,25
27,"                                27
                            ",7,English - Social Science-7,7821,7082,90,10
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,7821,5754,73,27
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,6961,14598,209,-109
30,"                                30
                            ",8,English - Maths-8,5472,5111,93,7
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,4838,4168,86,14
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,6984,6764,96,4
33,"                                33
                            ",8,English - Science-8,7781,5524,70,30
34,"                                34
                            ",8,English - Social Science-8,5641,930,16,84
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,1152028,1037081,90,10
36,"                                36
                            ",1,Hindi - GANIT -1,1147114,1028652,89,11
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,1142544,1039026,90,10
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,1269275,1157089,91,9
39,"                                39
                            ",2,Hindi - GANIT -2,1259942,1156798,91,9
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,1251598,1140218,91,9
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,1475458,1412018,95,5
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,1449946,1326179,91,9
43,"                                43
                            ",3,Hindi - GANIT -3,1442529,1251060,86,14
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,1452088,1351406,93,7
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,1411153,1330640,94,6
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,1396943,1279406,91,9
47,"                                47
                            ",4,Hindi - GANIT -4,1399000,1287084,92,8
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,1406359,1356236,96,4
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),1349639,1201381,89,11
50,"                                50
                            ",5,Hindi - ENVIRONMENTAL STUDY-5,1360974,1283933,94,6
51,"                                51
                            ",5,Hindi - GANIT -5,1354888,1270389,93,7
52,"                                52
                            ",5,Hindi - Language-English READER ( GENERAL SERIES) -5,1361538,1284605,94,6
53,"                                53
                            ",6,Hindi - BHASHA BHARTI-6,1311123,1236979,94,6
54,"                                54
                            ",6,Hindi - GANIT -6,1302259,1213190,93,7
55,"                                55
                            ",6,Hindi - Language-English READER ( GENERAL SERIES) -6,1295351,1178512,90,10
56,"                                56
                            ",6,Hindi - SAHAYAK WACHAN-6,1295167,1219073,94,6
57,"                                57
                            ",6,Hindi - SCIENCE-6 ,1303082,1271339,97,3
58,"                                58
                            ",6,Hindi - SOCIAL SCIENCE-6,1278107,1190401,93,7
59,"                                59
                            ",6,Hindi - SURBHI-6,1275005,1165766,91,9
60,"                                60
                            ",7,Hindi - BHASHA BHARTI -7,1146944,1086271,94,6
61,"                                61
                            ",7,Hindi - GANIT -7,1132696,1043055,92,8
62,"                                62
                            ",7,Hindi - Language-English READER ( GENERAL SERIES) -7,1134874,961006,84,16
63,"                                63
                            ",7,Hindi - SAHAYAK WACHAN-7,1137469,1045848,91,9
64,"                                64
                            ",7,Hindi - SCIENCE-7 ,1138282,1052685,92,8
65,"                                65
                            ",7,Hindi - SOCIAL SCIENCE-7,1119999,1029587,91,9
66,"                                66
                            ",7,Hindi - SURBHI-7,1137236,971334,85,15
67,"                                67
                            ",8,Hindi - BHASHA BHARTI (SPECIAL),1091438,1002645,91,9
68,"                                68
                            ",8,Hindi - GANIT -8,1076750,968488,89,11
69,"                                69
                            ",8,Hindi - Language-English READER ( GENERAL SERIES) -8,1076857,956569,88,12
70,"                                70
                            ",8,Hindi - SAHAYAK WACHAN-8,1071274,971326,90,10
71,"                                71
                            ",8,Hindi - SCIENCE-8,1075536,983974,91,9
72,"                                72
                            ",8,Hindi - SOCIAL SCIENCE-8,1060432,970762,91,9
73,"                                73
                            ",8,Hindi - SURBHI-8,1064817,982868,92,8
74,"                                74
                            ",1,Marathi - Language-English Reader (General Series) -1,6961,7969,114,-14
75,"                                75
                            ",1,Marathi - Language-Marathi-1,6984,14002,200,-100
76,"                                76
                            ",1,Marathi - Maths-1,4699,973,20,80
77,"                                77
                            ",2,Marathi - Language-English Reader (General Series) -2,5590,24263,434,-334
78,"                                78
                            ",2,Marathi - Language-Marathi-2,4814,8121,168,-68
79,"                                79
                            ",2,Marathi - Maths-2,3264,14224,435,-335
80,"                                80
                            ",3,Marathi - EVS-3,3364,6187,183,-83
81,"                                81
                            ",3,Marathi - General Hindi-3,3508,32225,918,-818
82,"                                82
                            ",3,Marathi - Language-English Reader (General Series) -3,5590,24761,442,-342
