,Sr No,District / Block Name,Total Enrollment,Total Enrollment Boys,Total Enrollment Girls,Total Appeared,Total Boys,Total Girls,A Grade Boys,A Grade Girls,B Grade Boys,B Grade Girls,C Grade Boys,C Grade Girls,D Grade Boys,D Grade Girls,E Grade Boys,E Grade Girls
0,,,,,,,,,,,,,,,,,,
1,"                            1
                            ",AGAR MALWA,30758,13230,17528,29953,12884,17069,1596,1753,5115,6709,5871,8262,302,336,0,9
2,"                            2
                            ",ALIRAJPUR,93269,49942,43327,73643,39995,33648,3088,2613,19157,15605,17478,15225,251,180,21,25
3,"                            3
                            ",ANUPPUR,50375,24858,25517,49594,24424,25170,4434,4921,12568,13248,7270,6884,150,117,2,0
4,"                            4
                            ",ASHOKNAGAR,66664,32828,33836,65685,32351,33334,6474,6371,13136,13570,12077,12761,662,629,2,3
5,"                            5
                            ",BALAGHAT,97679,48578,49101,94045,45908,48137,8850,11051,17908,19717,16944,15708,2075,1584,131,77
6,"                            6
                            ",BARWANI,102102,51976,50126,96606,49221,47385,3673,3612,20555,19003,24663,24419,325,349,5,2
7,"                            7
                            ",BETUL,104971,52035,52936,100868,49802,51066,9271,11123,21642,22215,17992,16984,736,630,161,114
8,"                            8
                            ",BHIND,79581,40368,39213,78437,39776,38661,5395,4662,20221,19913,13889,13835,271,251,0,0
9,"                            9
                            ",BHOPAL,59178,28213,30965,55198,26186,29012,3735,5098,10656,12153,10688,10828,878,804,229,129
10,"                            10
                            ",BURHANPUR,53628,27350,26278,49389,24921,24468,4514,4661,11003,10872,9117,8655,279,263,8,17
11,"                            11
                            ",CHHATARPUR,132551,67328,65223,126199,63928,62271,11554,9910,26245,26704,24732,24542,1346,1075,51,40
12,"                            12
                            ",CHHINDWARA,120021,58775,61246,118046,57727,60319,14416,17047,26954,28015,15523,14622,811,624,23,11
13,"                            13
                            ",DAMOH,91895,45772,46123,87348,43325,44023,7015,6970,16929,17586,17834,18024,1508,1424,39,19
