,Unnamed: 0,District,Primary BoysTextBook,Primary GirlsTextBook,Upper Primary BoysTextBook,Upper Primary GirlsTextBook,Primary BoysUniform,Primary GirlsUniform,Upper Primary BoysUniform,Upper Primary GirlsUniform,District Name,Boys Total,Girls Total
0,0,ALIRAJPUR,153290,147886,58214,54923,3496,89310,1201,2938,ALIRAJPUR,8752,9073
15,15,DINDORI,116551,132035,37346,40127,163,124459,153,41048,DINDORI,226,215
36,36,SAGAR,110916,130541,42924,55335,130,118543,0,53319,SAGAR,304,314
37,37,SATNA,119658,125105,55611,63500,72,123624,121,63355,SATNA,1578,1873
44,44,SIDHI,118892,124643,44323,42253,179,119727,0,41829,SIDHI,648,660
10,10,CHHINDWARA,113930,117769,41004,42681,4,115223,177,42231,CHHINDWARA,23341,24181
38,38,SEHORE,104964,117484,46739,59255,211,113771,269,58993,SEHORE,158,127
26,26,MANDLA,98809,110074,30979,35717,40,110475,8,35454,MANDLA,255,375
11,11,DAMOH,101628,104172,52331,56509,76,102620,101,56049,DAMOH,7602,7881
5,5,BETUL,91310,99741,23691,25956,1,97977,0,25488,BETUL,1530,1646
47,47,UJJAIN,93311,96994,36652,35760,0,93898,0,35671,UJJAIN,446,760
34,34,RATLAM,72607,90964,26974,30798,14,87972,31,30000,RATLAM,2113,2156
29,29,NARSIMHAPUR,83810,87177,36360,47585,10,85006,0,46328,NARSINGHPUR,175,406
7,7,BHOPAL,81041,85322,38482,44692,89,82242,272,44101,BHOPAL,432,719
17,17,GWALIOR,81580,84749,24880,23736,70,83045,178,23335,GWALIOR,113,130
46,46,TIKAMGARH,75885,84701,22277,24573,0,80873,0,24094,TIKAMGARH,867,963
6,6,BHIND,82448,84626,50365,48587,17,82553,63,43615,BHIND,27818,29657
4,4,BARWANI,79442,82753,38396,45527,22,78036,296,43974,BARWANI,3923,4226
45,45,SINGRAULI,71558,79913,29738,35336,0,79344,154,34602,SINGROULI,522,709
23,23,KATNI,85031,78396,19220,13640,489,76135,208,12836,KATNI,809,996
22,22,JHABUA,75051,77902,37340,42152,258,74903,379,41865,JHABUA,48088,44906
42,42,SHEOPUR,58866,77334,25456,27664,38,76937,349,27824,SHEOPUR,40738,42859
48,48,UMARIA,64861,76824,27882,27109,462,74561,229,26864,UMARIA,52,60
40,40,SHAHDOL,73372,76799,37181,43033,13,73625,144,43925,SHAHDOL,942,934
12,12,DATIA,70310,75903,28579,33748,157,74399,135,33311,DATIA,847,805
25,25,KHARGONE,72483,75133,23889,23187,128,73537,448,24377,KHARGONE,14934,15502
24,24,KHANDWA,67706,70879,31362,34815,19,71074,136,35269,KHANDWA,161,178
14,14,DHAR,55767,70272,22546,26747,88,67798,258,26494,DHAR,13217,15014
32,32,RAISEN,64182,69438,23562,28561,0,68309,0,28839,RAISEN,209,228
35,35,REWA,63371,69388,23300,21381,111,66381,159,20692,REWA,30552,35009
33,33,RAJGARH,64900,69246,26666,31193,118,66290,64,30025,RAJGARH,7742,10009
18,18,HARDA,57895,67863,22782,29503,24,65671,139,29137,HARDA,82,99
39,39,SEONI,53218,64122,23064,30859,82,62592,221,31314,SEONI,748,769
27,27,MANDSAUR,58470,61213,26377,29540,0,59890,47,29019,MANDSAUR,1204,1310
1,1,ANUPPUR,60570,60785,12621,11025,129,60471,3,11482,ANUPPUR,20663,22032
41,41,SHAJAPUR,57190,60449,25085,28454,11,59472,12,28106,SHAJAPUR,58,34
3,3,BALAGHAT,55489,58792,18313,17995,51,57475,267,17809,BALAGHAT,3573,3595
21,21,JABALPUR,46336,58513,21603,27561,0,55739,0,25858,JABALPUR,444,386
28,28,MORENA,45257,56505,21006,20873,92,56102,95,21023,MORENA,43029,46645
20,20,INDORE,46303,51745,21162,24739,66,49780,59,24641,INDORE,891,616
43,43,SHIVPURI,48969,51518,14752,15086,150,47091,208,15026,SHIVPURI,919,1216
8,8,BURHANPUR,43505,49066,17401,24493,183,47639,216,22962,BURHANPUR,440,656
30,30,NEEMUCH,43801,46334,23033,25015,0,46410,0,24923,NEEMUCH,27426,33149
13,13,DEWAS,42929,45168,21257,20917,93,44225,0,20746,DEWAS,1371,1652
16,16,GUNA,39799,43747,18599,19778,82,41832,145,19983,GUNA,810,831
9,9,CHHATARPUR,34590,38256,10144,10631,6,37119,69,10605,CHHATARPUR,294,272
49,49,VIDISHA,36635,37612,15094,16721,160,37493,212,16919,VIDISHA,1147,1213
2,2,ASHOKNAGAR,34186,36509,16426,19686,0,35826,179,19553,ASHOKNAGAR,14056,14570
31,31,PANNA,29372,34930,12406,12476,14,34899,0,12468,PANNA,483,676
19,19,HOSHANGABAD,28224,31106,11049,11124,0,30315,93,11121,HOSHANGABAD,740,711
