,Unnamed: 0,District,Primary BoysTextBook,Primary GirlsTextBook,Upper Primary BoysTextBook,Upper Primary GirlsTextBook,Primary BoysUniform,Primary GirlsUniform,Upper Primary BoysUniform,Upper Primary GirlsUniform,District Name,Boys Total,Girls Total
35,35,REWA,97765,105498,39789,53865,6325,7022,36450,50808,REWA,94686,97817
33,33,RAJGARH,70347,84529,30931,37314,5390,6572,30124,37054,RAJGARH,63916,73544
44,44,SIDHI,66586,69191,29384,39275,4692,5197,28531,37068,SIDHI,64508,63312
0,0,ALIRAJPUR ,69165,59349,14411,14512,4065,4019,13855,14115,ALIRAJPUR,64633,58352
31,31,PANNA,51812,51654,23587,28839,4420,3995,22283,27695,PANNA,60517,57626
36,36,SAGAR ,98871,101743,53320,61265,2895,3274,51061,59756,SAGAR,94759,94762
25,25,KHARGONE,89358,97145,36840,43896,3190,3269,34896,43058,KHARGONE,85873,85692
24,24,KHANDWA,69591,73478,27620,26864,2963,3265,26350,26056,KHANDWA,65085,64479
37,37,SATNA,100396,107182,49992,62079,2835,3176,48183,60775,SATNA,91479,93433
13,13,DEWAS ,51155,60328,23434,29850,1640,2943,22486,29380,DEWAS,48391,55093
9,9,CHHATARPUR,111602,111061,49386,53489,2844,2720,42614,46287,CHHATARPUR,105876,101454
48,48,UMARIA,33615,34164,17940,20541,2622,2697,17830,20281,UMARIA,33789,33524
21,21,JABALPUR,65111,65748,31985,38150,2532,2671,29193,34318,JABALPUR,58443,58601
5,5,BETUL ,72576,71974,39131,43480,2149,2593,38210,43131,BETUL,65386,64592
40,40,SHAHDOL,53121,52774,29004,33320,1894,2501,28219,32716,SHAHDOL,48624,48145
8,8,BURHANPUR ,35334,36070,11238,13843,2593,2501,10943,13667,BURHANPUR,33261,31865
17,17,GWALIOR,49619,51280,21645,30073,2328,2450,20770,27895,GWALIOR,51365,51814
39,39,SEONI,60800,62503,41208,46987,2198,2361,38172,44932,SEONI,53322,53629
49,49,VIDISHA,72465,75361,31512,35111,1952,2318,30401,33931,VIDISHA,72679,69576
41,41,SHAJAPUR,51388,64717,26053,31180,1523,2229,24702,30337,SHAJAPUR,24107,31315
2,2,ASHOKNAGAR ,52315,54854,19929,21726,1866,2031,19667,21404,ASHOKNAGAR,48685,48600
28,28,MORENA,70083,69552,37222,45212,1226,2026,34916,42671,MORENA,83458,76084
47,47,UJJAIN,53738,63456,25128,27365,1466,1996,24891,27138,UJJAIN,49589,58181
14,14,DHAR,101569,107104,38127,43211,1366,1935,35717,41013,DHAR,97258,99821
26,26,MANDLA,51394,52198,26272,30052,1742,1913,25972,30017,MANDLA,51101,50742
10,10,CHHINDWARA ,88410,88838,53478,61205,1962,1872,51185,59348,CHHINDWARA,77826,77782
38,38,SEHORE,41841,48150,22631,30331,1733,1827,22085,30109,SEHORE,41802,46371
45,45,SINGRAULI,62411,64540,24162,30641,1476,1772,23087,28862,SINGROULI,73659,71886
3,3,BALAGHAT,72575,75327,38124,44509,1544,1661,37337,44039,BALAGHAT,59261,60146
7,7,BHOPAL,47497,53150,21705,30746,1532,1646,19294,24356,BHOPAL,38824,41254
19,19,HOSHANGABAD,29827,33375,17664,19945,1879,1589,16602,18938,HOSHANGABAD,34389,36664
43,43,SHIVPURI,99944,100088,46457,49558,1749,1582,45188,49410,SHIVPURI,103758,98471
22,22,JHABUA,79834,75315,22253,18856,1890,1536,20933,18224,JHABUA,86392,79144
18,18,HARDA ,25195,25931,11848,12933,1532,1481,11675,12799,HARDA,22099,21965
32,32,RAISEN,51054,53197,27249,32404,1214,1455,26562,31601,RAISEN,52180,53625
34,34,RATLAM,59065,61617,25508,26301,1149,1420,25215,26180,RATLAM,58233,59688
29,29,NARSIMHAPUR,39466,41146,24959,27182,1362,1399,23463,26393,NARSINGHPUR,34690,35708
12,12,DATIA,38214,37870,21923,23684,1263,1236,21583,23344,DATIA,36697,34104
23,23,KATNI,62536,62500,34152,35727,1275,1210,24584,27758,KATNI,60117,58464
1,1,ANUPPUR,23278,23914,13572,15975,971,1156,13242,15667,ANUPPUR,30240,30440
4,4,BARWANI,88095,90374,26649,30745,875,1000,26248,29981,BARWANI,80538,78523
27,27,MANDSAUR,34176,40560,17992,20059,777,892,17748,19813,MANDSAUR,34566,40843
16,16,GUNA,58628,62171,22872,24835,808,881,21495,24066,GUNA,70284,72523
6,6,BHIND,70285,72013,36932,42820,797,799,33605,40031,BHIND,67680,64269
15,15,DINDORI,38640,40406,17898,19623,811,782,17293,19253,DINDORI,39893,39848
11,11,DAMOH  ,64716,65070,32095,37692,915,756,30773,36620,DAMOH,61214,59649
42,42,SHEOPUR,43992,44688,17385,20588,932,746,16605,19765,SHEOPUR,39568,38028
20,20,INDORE,39955,48149,21276,28367,281,411,20622,27731,INDORE,40839,47117
46,46,TIKAMGARH  ,654,700,635,571,0,0,313,334,TIKAMGARH,94512,87514
30,30,NEEMUCH,25230,29501,13605,15487,0,0,13450,15453,NEEMUCH,20483,23563
