,District,Primary BoysTextBook,Primary GirlsTextBook,Upper Primary BoysTextBook,Upper Primary GirlsTextBook,Primary BoysUniform,Primary GirlsUniform,Upper Primary BoysUniform,Upper Primary GirlsUniform
0,ALIRAJPUR,62154,61637,12203,10116,32,60950,12,10027
1,ANUPPUR,35148,37844,7775,9002,129,37259,64,8916
2,ASHOKNAGAR,58425,63410,17104,15335,27,62573,0,15309
3,BALAGHAT,77405,83105,31830,37630,138,80179,3,36909
4,BARWANI,90683,99636,22361,22038,3,98194,90,21529
5,BETUL,86848,89347,40757,41397,0,88285,0,41037
6,BHIND,89438,90529,36148,40803,29,85507,166,39001
7,BHOPAL,53657,60364,19198,24733,1401,57328,455,23929
8,BURHANPUR,36214,38758,4944,4562,85,37062,0,5382
9,CHHATARPUR,115192,119326,35993,35272,1,117790,10,34658
10,CHHINDWARA,106229,110004,49085,51370,14,109275,143,50497
11,DAMOH,74641,80610,28385,31019,11,79121,26,30871
12,DATIA,46626,47589,19063,18093,2,47580,0,17834
13,DEWAS,57226,73008,19323,22012,22,71914,26,22001
14,DHAR,117853,127704,33888,32218,44,124283,161,31368
15,DINDORI,36671,39749,11870,12244,21,38164,0,12305
16,GUNA,81700,89669,21642,17935,45,88745,5,17589
17,GWALIOR,62058,71936,21861,26002,6,68442,4,25452
18,HARDA,29317,31133,10419,10322,0,30655,0,9966
19,HOSHANGABAD,44576,48763,19011,21125,29,48402,0,20390
20,INDORE,51373,63061,21568,26803,116,61382,5,26010
21,JABALPUR,76842,80778,32053,34420,416,77481,566,34222
22,JHABUA,80880,77495,14936,9901,74,75327,0,9330
23,KATNI,69822,73752,29274,30702,8,72807,5,30451
24,KHANDWA,71579,76077,20703,19681,175,73886,0,19595
25,KHARGONE,101466,114710,30699,31866,0,112771,3,31512
26,MANDLA,60585,64588,24873,25962,0,63627,21,25626
27,MANDSAUR,48210,59566,20099,19135,140,59061,51,19178
28,MORENA,91850,97042,35043,41325,138,94818,0,40569
29,NARSIMHAPUR,46892,49041,21264,22963,0,48879,0,22900
30,NEEMUCH,30855,36347,11468,10924,42,35799,64,10774
31,PANNA,64398,71684,23192,27654,0,66089,0,24352
32,RAISEN,69612,75630,25781,28675,138,71189,0,27732
33,RAJGARH,72327,87972,14579,14888,38,86547,18,14661
34,RATLAM,67127,73802,23456,19010,44,70780,22,18616
35,REWA,118154,133556,37668,47847,169,121967,64,45200
36,SAGAR,123961,130903,52233,57512,11,130389,13,57667
37,SATNA,111062,124823,41979,51547,141,122778,162,50696
38,SEHORE,59315,69759,23679,28736,58,69271,21,28612
39,SEONI,79400,83856,35272,39750,0,83129,0,39673
40,SHAHDOL,60602,64285,23345,25487,0,63402,0,25386
41,SHAJAPUR,62522,80169,22122,22249,156,78748,0,21925
42,SHEOPUR,48409,51729,13291,11695,150,48938,155,11374
43,SHIVPURI,124249,131231,41696,35592,199,128040,0,34962
44,SIDHI,72451,82076,23522,26820,0,80712,0,26567
45,SINGRAULI,78775,89129,17487,17971,1435,86982,211,17538
46,TIKAMGARH,98403,104526,34720,31313,59,103813,18,30870
47,UJJAIN,69934,82201,26758,24377,89,81122,167,24243
48,UMARIA,36924,39868,9130,9083,45,39098,2,8700
49,VIDISHA,87173,94572,25374,24395,158,93549,103,24167
