,Sr No,District / Block Name,Total Enrollment,Total Enrollment Boys,Total Enrollment Girls,Total Appeared,Total Boys,Total Girls,A Grade Boys,A Grade Girls,B Grade Boys,B Grade Girls,C Grade Boys,C Grade Girls,D Grade Boys,D Grade Girls,E Grade Boys,E Grade Girls
0,,,,,,,,,,,,,,,,,,
1,"                            1
                            ",AGAR MALWA,32811,14273,18538,32073,13930,18143,1759,2044,6109,7459,5895,8397,166,228,1,15
2,"                            2
                            ",ALIRAJPUR,86495,46390,40105,68046,37204,30842,2993,2413,18180,14606,15854,13624,163,190,14,9
3,"                            3
                            ",ANUPPUR,52597,26137,26460,52092,25836,26256,4022,4300,13364,13789,8279,8018,167,146,4,3
4,"                            4
                            ",ASHOKNAGAR,58381,29147,29234,57923,28907,29016,3562,3226,14961,15004,10190,10541,191,242,3,3
5,"                            5
                            ",BALAGHAT,98347,48628,49719,96316,47464,48852,9459,11699,19007,20335,17163,15419,1734,1331,101,68
6,"                            6
                            ",BARWANI,103039,52906,50133,95786,49236,46550,3252,3144,18574,16981,27045,26102,325,293,40,30
7,"                            7
                            ",BETUL,107894,53765,54129,103466,51362,52104,9355,10927,22437,22976,18586,17458,730,556,254,187
8,"                            8
                            ",BHIND,90340,46011,44329,89311,45542,43769,5020,4200,26542,24877,13784,14468,194,224,2,0
9,"                            9
                            ",BHOPAL,61711,29817,31894,58304,27910,30394,4330,5795,12378,13478,10499,10558,647,542,56,21
10,"                            10
                            ",BURHANPUR,53920,27672,26248,50442,25839,24603,4425,4612,11542,11000,9555,8692,305,293,12,6
11,"                            11
                            ",CHHATARPUR,165056,84391,80665,159534,81502,78032,14310,12220,37346,36383,28856,28543,955,849,35,37
12,"                            12
                            ",CHHINDWARA,125131,61808,63323,123421,60852,62569,15576,18314,30505,30680,14242,13212,504,354,25,9
13,"                            13
                            ",DAMOH,99392,50024,49368,95627,47992,47635,7812,7833,18989,19169,20057,19531,1127,1098,7,4
14,"                            14
                            ",DATIA,52082,26962,25120,51699,26738,24961,3085,2586,13642,12545,9817,9702,194,128,0,0
15,"                            15
                            ",DEWAS,82036,38285,43751,80747,37538,43209,6453,8164,17460,20154,13314,14566,287,307,24,18
16,"                            16
                            ",DHAR,153262,76399,76863,146690,73020,73670,9001,9094,32984,32774,30232,31055,758,702,45,45
17,"                            17
                            ",DINDORI,66745,33465,33280,65581,32793,32788,4138,3568,16595,16347,11858,12623,202,249,0,1
18,"                            18
                            ",GUNA,103316,50702,52614,101788,49937,51851,5446,5295,22075,22604,21621,23178,794,771,1,3
19,"                            19
                            ",GWALIOR,72667,35899,36768,70531,34807,35724,4681,4585,17179,17674,12518,13107,420,344,9,14
20,"                            20
                            ",HARDA,35282,17877,17405,34593,17507,17086,1879,1993,7322,7104,7768,7473,523,508,15,8
21,"                            21
                            ",HOSHANGABAD,47744,23050,24694,46242,22257,23985,3591,4501,9773,10718,8573,8492,311,269,9,5
22,"                            22
                            ",INDORE,71645,33187,38458,68983,31774,37209,5560,7509,13282,15863,12261,13253,617,543,54,41
23,"                            23
                            ",JABALPUR,95291,47200,48091,93007,45903,47104,8092,9355,18776,19973,17771,16652,1238,1107,26,17
24,"                            24
                            ",JHABUA,119766,63100,56666,100047,53515,46532,5379,4067,29779,25339,17828,16628,439,384,90,114
25,"                            25
                            ",KATNI,95270,47257,48013,91886,45505,46381,7728,8057,18049,18878,18445,18141,1235,1264,48,41
26,"                            26
                            ",KHANDWA,103264,51690,51574,94981,47258,47723,6833,7438,19814,19640,19410,19522,1096,1044,105,79
27,"                            27
                            ",KHARGONE,118221,57738,60483,111159,54226,56933,4237,4920,16394,17494,31819,32791,1696,1643,80,85
28,"                            28
                            ",MANDLA,74152,37061,37091,73085,36473,36612,5711,5431,18754,18666,11626,12106,375,404,7,5
29,"                            29
                            ",MANDSAUR,58215,26205,32010,57262,25665,31597,4506,5758,12398,15511,8524,10012,214,283,23,33
30,"                            30
                            ",MORENA,129216,66608,62608,128419,66145,62274,12910,10230,39254,37084,13724,14722,257,233,0,5
31,"                            31
                            ",NARSINGHPUR,56130,27149,28981,55732,26929,28803,7570,8943,12281,13222,6917,6506,152,126,9,6
32,"                            32
                            ",NEEMUCH,32850,15320,17530,31975,14911,17064,2943,3675,6647,7415,5070,5749,235,217,16,8
33,"                            33
                            ",PANNA,75903,38691,37212,71022,35985,35037,3322,2847,14743,14043,17001,17314,894,810,25,23
34,"                            34
                            ",RAISEN,88172,42890,45282,85318,41379,43939,4974,5939,19073,20720,16596,16567,723,702,13,11
35,"                            35
                            ",RAJGARH,100154,45723,54431,95238,43458,51780,6505,7727,18326,21590,17638,21383,967,1056,22,24
36,"                            36
                            ",RATLAM,97476,48036,49440,88246,43373,44873,2822,3092,14677,14981,24762,25526,1036,1169,76,105
37,"                            37
                            ",REWA,142560,69098,73462,140773,68135,72638,10008,9329,31134,33759,26574,29126,403,414,16,10
38,"                            38
                            ",SAGAR,148634,72935,75699,144570,71036,73534,9328,10886,31777,33747,28901,27939,992,914,38,48
39,"                            39
                            ",SATNA,137039,67389,69650,133732,65654,68078,9920,9739,26724,28366,27064,28178,1868,1739,78,56
40,"                            40
                            ",SEHORE,72250,33911,38339,71820,33729,38091,5616,6735,16534,18902,11368,12271,211,181,0,2
41,"                            41
                            ",SEONI,80641,39630,41011,79290,38890,40400,6788,8163,18703,19446,12662,12101,706,662,31,28
42,"                            42
                            ",SHAHDOL,85955,42863,43092,84720,42222,42498,6505,6293,21726,22453,13654,13455,329,293,8,4
43,"                            43
                            ",SHAJAPUR,40136,17122,23014,39406,16809,22597,2266,3116,7309,10141,7026,9105,206,235,2,0
44,"                            44
                            ",SHEOPUR,59986,30611,29375,59330,30289,29041,2507,2031,16353,14781,11216,11893,213,336,0,0
45,"                            45
                            ",SHIVPURI,162095,83365,78730,160486,82554,77932,9155,7466,36875,33263,35744,36494,778,706,2,3
46,"                            46
                            ",SIDHI,97003,48193,48810,95196,47127,48069,4083,3530,19508,20508,23039,23572,484,451,13,8
47,"                            47
                            ",SINGROULI,114581,57548,57033,112238,56338,55900,7331,6506,22299,21557,25594,26798,1096,1033,18,6
48,"                            48
                            ",TIKAMGARH,140582,73062,67520,136689,70941,65748,6709,5556,27166,24697,35798,34178,1255,1308,13,9
49,"                            49
                            ",UJJAIN,72393,32593,39800,70546,31718,38828,5057,6248,14376,17526,11922,14639,333,382,30,33
50,"                            50
                            ",UMARIA,55806,27706,28100,54785,27149,27636,3665,3746,12389,12967,10948,10756,146,166,1,1
51,"                            51
                            ",VIDISHA,106419,52251,54168,105484,51759,53725,5914,7008,24634,25684,20721,20636,463,389,27,8
52, ,Total,4580053,2269740,2310313,4415637,2185022,2230615,308093,321853,986718,1004873,857329,872772,31354,29818,1528,1299
