,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",KHARGONE,MAHESHWAR,413,280,96,20,17,412,280,96,20,17,1,0,0,0,0,99.76,100,100,100,100
"                                            2
                                        ",KHARGONE,SEGAON,254,185,55,9,5,253,185,55,8,5,1,0,0,1,0,99.61,100,100,88.89,100
"                                            3
                                        ",KHARGONE,KASRAVAD ,486,326,127,18,15,482,326,127,16,15,4,0,0,2,0,99.18,100,100,88.89,100
"                                            4
                                        ",KHARGONE,BHIKANGAON,398,275,98,15,10,394,274,98,14,9,4,1,0,1,1,98.99,99.64,100,93.33,90
"                                            5
                                        ",KHARGONE,BHAGWANPURA,584,453,105,19,7,571,450,102,15,6,13,3,3,4,1,97.77,99.34,97.14,78.95,85.71
"                                            6
                                        ",KHARGONE,GOGAWA,218,145,50,15,8,213,143,49,14,8,5,2,1,1,0,97.71,98.62,98,93.33,100
"                                            7
                                        ",KHARGONE,BADWAHA ,610,427,143,24,16,594,426,139,17,16,16,1,4,7,0,97.38,99.77,97.2,70.83,100
"                                            8
                                        ",KHARGONE,JHIRNIYA,489,379,90,11,9,476,373,88,8,8,13,6,2,3,1,97.34,98.42,97.78,72.73,88.89
"                                            9
                                        ",KHARGONE,KHARGONE ,269,144,78,31,16,256,143,76,23,16,13,1,2,8,0,95.17,99.31,97.44,74.19,100
 , ,Total,3721,2614,842,162,103,3651,2600,830,135,100,70,14,12,27,3, , , , , 
