,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",CHHINDWARA,PANDHURNA,327,199,95,14,19,326,199,95,14,19,1,0,0,0,0,99.69,100,100,100,100
"                                            2
                                        ",CHHINDWARA,TAMIA,390,275,87,14,14,388,275,87,13,13,2,0,0,1,1,99.49,100,100,92.86,92.86
"                                            3
                                        ",CHHINDWARA,MOHKHED,349,231,84,15,19,347,231,84,14,19,2,0,0,1,0,99.43,100,100,93.33,100
"                                            4
                                        ",CHHINDWARA,CHOURAI,337,220,85,18,14,334,220,85,17,14,3,0,0,1,0,99.11,100,100,94.44,100
"                                            5
                                        ",CHHINDWARA,SAUSAR,246,150,64,12,20,243,150,63,12,20,3,0,1,0,0,98.78,100,98.44,100,100
"                                            6
                                        ",CHHINDWARA,HARRAI,459,325,109,14,11,453,325,108,13,9,6,0,1,1,2,98.69,100,99.08,92.86,81.82
"                                            7
                                        ",CHHINDWARA,CHHINDWARA,422,255,110,25,32,416,255,109,23,32,6,0,1,2,0,98.58,100,99.09,92,100
"                                            8
                                        ",CHHINDWARA,AMARWADA,316,201,91,10,14,311,201,87,9,14,5,0,4,1,0,98.42,100,95.6,90,100
"                                            9
                                        ",CHHINDWARA,PARASIA,433,278,109,21,25,426,278,107,20,23,7,0,2,1,2,98.38,100,98.17,95.24,92
"                                            10
                                        ",CHHINDWARA,BICHHUA,246,155,67,13,11,241,155,65,12,10,5,0,2,1,1,97.97,100,97.01,92.31,90.91
"                                            11
                                        ",CHHINDWARA,JUNNARDEO,578,396,142,21,19,561,396,136,14,17,17,0,6,7,2,97.06,100,95.77,66.67,89.47
 , ,Total,4103,2685,1043,177,198,4046,2685,1026,161,190,57,0,17,16,8, , , , , 
