,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",DHAR,MANAVAR,318,218,74,18,8,316,218,72,18,8,2,0,2,0,0,99.37,100,97.3,100,100
"                                            2
                                        ",DHAR,DAHI,363,277,63,13,10,360,277,63,12,8,3,0,0,1,2,99.17,100,100,92.31,80
"                                            3
                                        ",DHAR,KUKSHI,265,211,33,14,7,262,211,32,13,7,3,0,1,1,0,98.87,100,96.97,92.86,100
"                                            4
                                        ",DHAR,NALCHHA,401,281,92,17,11,395,281,91,13,11,6,0,1,4,0,98.5,100,98.91,76.47,100
"                                            5
                                        ",DHAR,BAGH,357,287,52,13,5,351,286,51,10,5,6,1,1,3,0,98.32,99.65,98.08,76.92,100
"                                            6
                                        ",DHAR,TIRLA,265,205,46,10,4,260,205,44,9,3,5,0,2,1,1,98.11,100,95.65,90,75
"                                            7
                                        ",DHAR,GANDHWANI,472,376,76,15,5,463,375,74,11,4,9,1,2,4,1,98.09,99.73,97.37,73.33,80
"                                            8
                                        ",DHAR,NISARPUR,195,139,39,8,9,191,139,38,7,8,4,0,1,1,1,97.95,100,97.44,87.5,88.89
"                                            9
                                        ",DHAR,BADNAVAR,459,318,110,14,17,449,318,110,8,17,10,0,0,6,0,97.82,100,100,57.14,100
"                                            10
                                        ",DHAR,DHARAMPURI,304,215,66,9,14,297,215,64,5,13,7,0,2,4,1,97.7,100,96.97,55.56,92.86
"                                            11
                                        ",DHAR,UMARBAN,335,252,61,12,10,327,252,60,8,9,8,0,1,4,1,97.61,100,98.36,66.67,90
"                                            12
                                        ",DHAR,SARDARPUR,510,375,95,24,16,495,373,91,20,16,15,2,4,4,0,97.06,99.47,95.79,83.33,100
"                                            13
                                        ",DHAR,DHAR,236,140,68,14,14,226,140,66,9,13,10,0,2,5,1,95.76,100,97.06,64.29,92.86
 , ,Total,4480,3294,875,181,130,4392,3290,856,143,122,88,4,19,38,8, , , , , 
