,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",JABALPUR,MAJHOLI,329,226,78,14,11,327,226,78,13,11,2,0,0,1,0,99.39,100,100,92.86,100
"                                            2
                                        ",JABALPUR,PATAN,295,196,80,11,8,292,196,80,10,8,3,0,0,1,0,98.98,100,100,90.91,100
"                                            3
                                        ",JABALPUR,PANAGAR,284,185,72,18,9,281,185,72,17,9,3,0,0,1,0,98.94,100,100,94.44,100
"                                            4
                                        ",JABALPUR,JABALPUR (RURAL),376,242,103,13,18,372,242,103,13,18,4,0,0,0,0,98.94,100,100,100,100
"                                            5
                                        ",JABALPUR,SIHORA,249,147,80,10,12,245,147,80,8,12,4,0,0,2,0,98.39,100,100,80,100
"                                            6
                                        ",JABALPUR,SHAHPURA,347,231,93,13,10,341,231,93,8,10,6,0,0,5,0,98.27,100,100,61.54,100
"                                            7
                                        ",JABALPUR,KUNDAM,330,233,73,10,14,323,233,73,6,14,7,0,0,4,0,97.88,100,100,60,100
"                                            8
                                        ",JABALPUR,JABALPUR (URBAN),253,146,75,12,20,244,144,73,12,18,9,2,2,0,2,96.44,98.63,97.33,100,90
 , ,Total,2463,1606,654,101,102,2425,1604,652,87,100,38,2,2,14,2, , , , , 
