,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",SATNA,UNCHERA,365,262,79,9,15,363,262,79,8,15,2,0,0,1,0,99.45,100,100,88.89,100
"                                            2
                                        ",SATNA,Satna(Sohwal),527,358,124,21,24,523,358,124,20,23,4,0,0,1,1,99.24,100,100,95.24,95.83
"                                            3
                                        ",SATNA,MAJHGWAN,670,451,172,21,26,664,451,171,19,25,6,0,1,2,1,99.1,100,99.42,90.48,96.15
"                                            4
                                        ",SATNA,NAGOD,499,350,117,19,13,494,350,117,17,12,5,0,0,2,1,99,100,100,89.47,92.31
"                                            5
                                        ",SATNA,RAMPUR BAGHELAN,506,331,139,19,17,500,330,139,17,17,6,1,0,2,0,98.81,99.7,100,89.47,100
"                                            6
                                        ",SATNA,RAM NAGAR,369,265,80,7,17,362,265,80,4,14,7,0,0,3,3,98.1,100,100,57.14,82.35
"                                            7
                                        ",SATNA,AMARPATAN,401,269,97,16,19,393,269,97,13,17,8,0,0,3,2,98,100,100,81.25,89.47
"                                            8
                                        ",SATNA,MAIHAR,585,401,132,30,22,563,401,131,21,22,22,0,1,9,0,96.24,100,99.24,70,100
 , ,Total,3922,2687,940,142,153,3862,2686,938,119,145,60,1,2,23,8, , , , , 
