,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",RAISEN,SILWANI,405,291,89,12,13,403,291,89,11,13,2,0,0,1,0,99.51,100,100,91.67,100
"                                            2
                                        ",RAISEN,OBEDULLAGANJ,434,296,109,15,14,431,296,109,12,14,3,0,0,3,0,99.31,100,100,80,100
"                                            3
                                        ",RAISEN,SANCHI,481,334,111,22,14,477,334,111,19,14,4,0,0,3,0,99.17,100,100,86.36,100
"                                            4
                                        ",RAISEN,GAIRATGANJ,304,216,67,13,8,300,216,67,10,8,4,0,0,3,0,98.68,100,100,76.92,100
"                                            5
                                        ",RAISEN,UDAIPURA,321,217,83,15,6,316,217,83,14,6,5,0,0,1,0,98.44,100,100,93.33,100
"                                            6
                                        ",RAISEN,BADI,438,289,117,23,9,431,289,116,21,9,7,0,1,2,0,98.4,100,99.15,91.3,100
"                                            7
                                        ",RAISEN,BEGAMGANJ,323,218,82,17,6,316,218,82,12,6,7,0,0,5,0,97.83,100,100,70.59,100
 , ,Total,2706,1861,658,117,70,2674,1861,657,99,70,32,0,1,18,0, , , , , 
