,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",SEONI,DHANORA,216,146,54,7,9,215,146,54,6,9,1,0,0,1,0,99.54,100,100,85.71,100
"                                            2
                                        ",SEONI,GHANSORE,443,311,105,13,14,439,311,103,11,14,4,0,2,2,0,99.1,100,98.1,84.62,100
"                                            3
                                        ",SEONI,SEONI,584,383,154,28,19,575,383,149,26,18,9,0,5,2,1,98.46,100,96.75,92.86,94.74
"                                            4
                                        ",SEONI,CHHAPARA,299,207,72,14,6,294,207,72,11,6,5,0,0,3,0,98.33,100,100,78.57,100
"                                            5
                                        ",SEONI,KEOLARI,336,232,77,16,11,330,231,77,14,9,6,1,0,2,2,98.21,99.57,100,87.5,81.82
"                                            6
                                        ",SEONI,BARGHAT,368,250,90,15,13,361,250,90,11,12,7,0,0,4,1,98.1,100,100,73.33,92.31
"                                            7
                                        ",SEONI,LAKHNADON,512,355,121,22,14,502,355,119,17,13,10,0,2,5,1,98.05,100,98.35,77.27,92.86
"                                            8
                                        ",SEONI,KURAI,345,241,80,12,12,337,240,79,6,12,8,1,1,6,0,97.68,99.59,98.75,50,100
 , ,Total,3103,2125,753,127,98,3053,2123,743,102,93,50,2,10,25,5, , , , , 
