District,Eligible,Sanction,Grant
AGAR MALWA,1624,1604,1604
ALIRAJPUR,1573,1547,1547
ANUPPUR,1923,1732,1732
ASHOKNAGAR,5963,5959,5959
BALAGHAT,9686,9678,9717
BARWANI,864,858,858
BETUL,4868,4861,4898
BHIND,3656,1832,1843
BHOPAL,1975,1894,1894
BURHANPUR,1382,826,826
CHHATARPUR,8667,8358,8385
CHHINDWARA,9505,8930,8930
DAMOH,5397,4295,4295
DATIA,2653,2620,2620
DEWAS,4886,4856,4946
DHAR,5575,4521,4545
DINDORI,4163,4017,4032
GUNA,5535,2480,2480
GWALIOR,2033,1292,1292
HARDA,1646,1279,1279
HOSHANGABAD,2756,1719,1719
INDORE,1781,1776,1776
JABALPUR,6013,5969,5969
JHABUA,3772,3747,3747
KATNI,5693,4270,4270
KHANDWA,5745,2937,2937
KHARGONE,9181,9088,9140
MANDLA,5579,3033,3033
MANDSAUR,3569,3313,3313
MORENA,3590,2816,2816
NARSINGHPUR,3784,3239,3239
NEEMUCH,2440,2438,2438
PANNA,4647,3602,3602
RAISEN,6233,6092,6092
RAJGARH,6956,5972,5972
RATLAM,4310,4131,4131
REWA,7135,5582,5582
SAGAR,9350,7252,7252
SATNA,7166,1293,1293
SEHORE,3140,3140,3140
SEONI,8553,8551,8551
SHAHDOL,4488,4463,4463
SHAJAPUR,1193,699,699
SHEOPUR,4520,4508,4508
SHIVPURI,9630,9435,9435
SIDHI,4171,3567,3567
SINGROULI,3866,3857,3857
TIKAMGARH,3178,2478,2478
UJJAIN,3441,3404,3404
UMARIA,2656,2477,2477
VIDISHA,7247,3934,3934
Total,239357,202221,202516
