,S.No,District,Eligible,Sanction,Grant
0,,,,,
1,"                                1
                            ",BALAGHAT,9686,9678,9717
2,"                                2
                            ",SHIVPURI,9630,9435,9435
3,"                                3
                            ",KHARGONE,9181,9088,9140
4,"                                4
                            ",CHHINDWARA,9505,8930,8930
5,"                                5
                            ",SEONI,8553,8551,8551
6,"                                6
                            ",CHHATARPUR,8667,8358,8385
7,"                                7
                            ",SAGAR,9350,7252,7252
8,"                                8
                            ",RAISEN,6233,6092,6092
9,"                                9
                            ",RAJGARH,6956,5972,5972
10,"                                10
                            ",JABALPUR,6013,5969,5969
11,"                                11
                            ",ASHOKNAGAR,5963,5959,5959
12,"                                12
                            ",REWA,7135,5582,5582
13,"                                13
                            ",DEWAS,4886,4856,4946
14,"                                14
                            ",BETUL,4868,4861,4898
15,"                                15
                            ",DHAR,5575,4521,4545
16,"                                16
                            ",SHEOPUR,4520,4508,4508
17,"                                17
                            ",SHAHDOL,4488,4463,4463
18,"                                18
                            ",DAMOH,5397,4295,4295
19,"                                19
                            ",KATNI,5693,4270,4270
20,"                                20
                            ",RATLAM,4310,4131,4131
21,"                                21
                            ",DINDORI,4163,4017,4032
22,"                                22
                            ",VIDISHA,7247,3934,3934
23,"                                23
                            ",SINGROULI,3866,3857,3857
24,"                                24
                            ",JHABUA,3772,3747,3747
25,"                                25
                            ",PANNA,4647,3602,3602
26,"                                26
                            ",SIDHI,4171,3567,3567
27,"                                27
                            ",UJJAIN,3441,3404,3404
28,"                                28
                            ",MANDSAUR,3569,3313,3313
29,"                                29
                            ",NARSINGHPUR,3784,3239,3239
30,"                                30
                            ",SEHORE,3140,3140,3140
31,"                                31
                            ",MANDLA,5579,3033,3033
32,"                                32
                            ",KHANDWA,5745,2937,2937
33,"                                33
                            ",MORENA,3590,2816,2816
34,"                                34
                            ",DATIA,2653,2620,2620
35,"                                35
                            ",GUNA,5535,2480,2480
36,"                                36
                            ",TIKAMGARH,3178,2478,2478
37,"                                37
                            ",UMARIA,2656,2477,2477
38,"                                38
                            ",NEEMUCH,2440,2438,2438
39,"                                39
                            ",BHOPAL,1975,1894,1894
40,"                                40
                            ",BHIND,3656,1832,1843
41,"                                41
                            ",INDORE,1781,1776,1776
42,"                                42
                            ",ANUPPUR,1923,1732,1732
43,"                                43
                            ",HOSHANGABAD,2756,1719,1719
44,"                                44
                            ",AGAR MALWA,1624,1604,1604
45,"                                45
                            ",ALIRAJPUR,1573,1547,1547
46,"                                46
                            ",SATNA,7166,1293,1293
47,"                                47
                            ",GWALIOR,2033,1292,1292
48,"                                48
                            ",HARDA,1646,1279,1279
49,"                                49
                            ",BARWANI,864,858,858
50,"                                50
                            ",BURHANPUR,1382,826,826
51,"                                51
                            ",SHAJAPUR,1193,699,699
52, ,Total,239357,202221,202516
