,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
2,"                                2
                            ",1,English - Maths-1, , , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3,110, , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,110, , , 
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4,100, , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,110, , , 
11,"                                11
                            ",4,English - Maths-4,100, , , 
12,"                                12
                            ",5,English - EVS-5,105, , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,100, , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,105, , , 
15,"                                15
                            ",5,English - Maths-5,105, , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,105, , , 
17,"                                17
                            ",6,English - Maths-6,65, , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,75, , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,65, , , 
20,"                                20
                            ",6,English - SCIENCE-6 ,65, , , 
21,"                                21
                            ",6,English - Soc. Science-6,65, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,75, , , 
23,"                                23
                            ",7,English - Maths-7,25, , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,75, , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,75, , , 
26,"                                26
                            ",7,English - Science-7,25, , , 
27,"                                27
                            ",7,English - Social Science-7,25, , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,25, , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,20, , , 
30,"                                30
                            ",8,English - Maths-8,25, , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,20, , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,20,2227,11135,-11035
33,"                                33
                            ",8,English - Science-8,25, , , 
34,"                                34
                            ",8,English - Social Science-8,25, , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,10637,11393,107,-7
36,"                                36
                            ",1,Hindi - GANIT -1,10637,12849,120,-20
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,10637,16772,157,-57
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,12653,12846,101,-1
39,"                                39
                            ",2,Hindi - GANIT -2,12653,12703,100,0
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,12653,10408,82,18
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,12270,12175,99,1
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,12270,12310,100,0
43,"                                43
                            ",3,Hindi - GANIT -3,12270,12453,101,-1
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,12270,8012,65,35
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,11385,11189,98,2
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,11385,10169,89,11
47,"                                47
                            ",4,Hindi - GANIT -4,11385,11442,100,0
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,11385,11032,96,4
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),10886,7417,68,32
