,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
2,"                                2
                            ",1,English - Maths-1, , , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3,30, , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,30, , , 
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4,25, , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,30, , , 
11,"                                11
                            ",4,English - Maths-4,25, , , 
12,"                                12
                            ",5,English - EVS-5,35, , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,25, , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,40, , , 
15,"                                15
                            ",5,English - Maths-5,35, , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,35, , , 
17,"                                17
                            ",6,English - Maths-6,40, , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,40, , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,35, , , 
20,"                                20
                            ",6,English - SCIENCE-6 ,35, , , 
21,"                                21
                            ",6,English - Soc. Science-6,35, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7, , , , 
23,"                                23
                            ",7,English - Maths-7,30,4080,13600,-13500
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7, ,4880, , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7, , , , 
26,"                                26
                            ",7,English - Science-7,30, , , 
27,"                                27
                            ",7,English - Social Science-7,30,4080,13600,-13500
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,30,2640,8800,-8700
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,20, , , 
30,"                                30
                            ",8,English - Maths-8,30,4080,13600,-13500
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,20,3080,15400,-15300
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,20, , , 
33,"                                33
                            ",8,English - Science-8,30, , , 
34,"                                34
                            ",8,English - Social Science-8,30, , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,35889,26676,74,26
36,"                                36
                            ",1,Hindi - GANIT -1,35889,27091,75,25
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,35889,26736,74,26
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,35846,27073,75,25
39,"                                39
                            ",2,Hindi - GANIT -2,35846,27135,75,25
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,35846,26801,74,26
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,30281,29284,96,4
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,30281,29437,97,3
43,"                                43
                            ",3,Hindi - GANIT -3,30281,29460,97,3
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,30281,29509,97,3
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,26946,26154,97,3
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,26946,24183,89,11
47,"                                47
                            ",4,Hindi - GANIT -4,26946,26063,96,4
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,26946,26186,97,3
