,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1,63, , , 
2,"                                2
                            ",1,English - Maths-1,48, , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2,36, , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3, , , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3, , , , 
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4, , , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4, , , , 
11,"                                11
                            ",4,English - Maths-4, , , , 
12,"                                12
                            ",5,English - EVS-5, , , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5, , , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5, , , , 
15,"                                15
                            ",5,English - Maths-5, , , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6, , , , 
17,"                                17
                            ",6,English - Maths-6, , , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6, , , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6, , , , 
20,"                                20
                            ",6,English - SCIENCE-6 , , , , 
21,"                                21
                            ",6,English - Soc. Science-6, , , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7, , , , 
23,"                                23
                            ",7,English - Maths-7, , , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7, , , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7, , , , 
26,"                                26
                            ",7,English - Science-7, , , , 
27,"                                27
                            ",7,English - Social Science-7, , , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8, , , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8, , , , 
30,"                                30
                            ",8,English - Maths-8, , , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8, , , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8, , , , 
33,"                                33
                            ",8,English - Science-8, , , , 
34,"                                34
                            ",8,English - Social Science-8, , , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,19958,19138,95,5
36,"                                36
                            ",1,Hindi - GANIT -1,19958,14938,74,26
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,19958,20620,103,-3
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,25493,14490,56,44
39,"                                39
                            ",2,Hindi - GANIT -2,25493,24491,96,4
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,25493,22660,88,12
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,31157,18290,58,42
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,31157,18361,58,42
43,"                                43
                            ",3,Hindi - GANIT -3,31157,15769,50,50
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,31157,26206,84,16
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,32416,18587,57,43
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,32416,15400,47,53
47,"                                47
                            ",4,Hindi - GANIT -4,32416,19980,61,39
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,32416,17147,52,48
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),33399,27751,83,17
50,"                                50
                            ",5,Hindi - ENVIRONMENTAL STUDY-5,33399,18814,56,44
51,"                                51
                            ",5,Hindi - GANIT -5,33399,25534,76,24
52,"                                52
                            ",5,Hindi - Language-English READER ( GENERAL SERIES) -5,33399,19231,57,43
53,"                                53
                            ",6,Hindi - BHASHA BHARTI-6,31572,15587,49,51
54,"                                54
                            ",6,Hindi - GANIT -6,31539,30979,98,2
55,"                                55
                            ",6,Hindi - Language-English READER ( GENERAL SERIES) -6,31572,21966,69,31
56,"                                56
                            ",6,Hindi - SAHAYAK WACHAN-6,31572,14466,45,55
