,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
2,"                                2
                            ",1,English - Maths-1, , , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3,2256, , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,2256, , , 
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4,1810, , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,2256, , , 
11,"                                11
                            ",4,English - Maths-4,1810, , , 
12,"                                12
                            ",5,English - EVS-5,1398, , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,1810, , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,1398, , , 
15,"                                15
                            ",5,English - Maths-5,1398, , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,1398, , , 
17,"                                17
                            ",6,English - Maths-6,1068, , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,779, , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,1068, , , 
20,"                                20
                            ",6,English - SCIENCE-6 ,1068, , , 
21,"                                21
                            ",6,English - Soc. Science-6,1068, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,779, , , 
23,"                                23
                            ",7,English - Maths-7,396, , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,779, , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,779, , , 
26,"                                26
                            ",7,English - Science-7,396, , , 
27,"                                27
                            ",7,English - Social Science-7,396, , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,396, , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,316, , , 
30,"                                30
                            ",8,English - Maths-8,396, , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,316, , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,316, , , 
33,"                                33
                            ",8,English - Science-8,396, , , 
34,"                                34
                            ",8,English - Social Science-8,396, , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,40365,25580,63,37
36,"                                36
                            ",1,Hindi - GANIT -1,40365,36624,90,10
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,40365,36424,90,10
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,39073,35296,90,10
39,"                                39
                            ",2,Hindi - GANIT -2,39073,36095,92,8
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,39073,35656,91,9
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,37366,34196,91,9
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,37366,36778,98,2
43,"                                43
                            ",3,Hindi - GANIT -3,37366,29420,78,22
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,37366,33130,88,12
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,37681,28996,76,24
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,37681,29089,77,23
47,"                                47
                            ",4,Hindi - GANIT -4,37681,33686,89,11
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,37681,33590,89,11
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),30525,26818,87,13
