,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1,50,39,78,22
2,"                                2
                            ",1,English - Maths-1,50,40,80,20
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2,50,48,96,4
4,"                                4
                            ",2,English - Maths-2,31,31,100,0
5,"                                5
                            ",3,English - EVS-3,265, , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3,31,42,135,-35
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,238, , , 
8,"                                8
                            ",3,English - Maths-3,31,16,51,49
9,"                                9
                            ",4,English - EVS-4,238, , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,238, , , 
11,"                                11
                            ",4,English - Maths-4,238, , , 
12,"                                12
                            ",5,English - EVS-5,226, , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,238, , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,226, , , 
15,"                                15
                            ",5,English - Maths-5,226, , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,226, , , 
17,"                                17
                            ",6,English - Maths-6,226, , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,240, , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,240, , , 
20,"                                20
                            ",6,English - SCIENCE-6 ,240, , , 
21,"                                21
                            ",6,English - Soc. Science-6,240, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,252, , , 
23,"                                23
                            ",7,English - Maths-7,252, , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,252, , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,252, , , 
26,"                                26
                            ",7,English - Science-7,252, , , 
27,"                                27
                            ",7,English - Social Science-7,170, , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,170, , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,182, , , 
30,"                                30
                            ",8,English - Maths-8,170, , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,170, , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,182, , , 
33,"                                33
                            ",8,English - Science-8,170, , , 
34,"                                34
                            ",8,English - Social Science-8,170, , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,30985,13520,43,57
36,"                                36
                            ",1,Hindi - GANIT -1,30985,13520,43,57
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,30985,16461,53,47
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,30283,12790,42,58
39,"                                39
                            ",2,Hindi - GANIT -2,30283,20491,67,33
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,30283,15685,51,49
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,29845,15313,51,49
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,29845,15313,51,49
43,"                                43
                            ",3,Hindi - GANIT -3,29845,15313,51,49
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,29845,12683,42,58
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,29951,14963,49,51
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,29951,14970,49,51
47,"                                47
                            ",4,Hindi - GANIT -4,29951,12287,41,59
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,29951,12287,41,59
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),29416,11636,39,61
50,"                                50
                            ",5,Hindi - ENVIRONMENTAL STUDY-5,29416,11642,39,61
51,"                                51
                            ",5,Hindi - GANIT -5,29416,11642,39,61
52,"                                52
                            ",5,Hindi - Language-English READER ( GENERAL SERIES) -5,29416,14007,47,53
53,"                                53
                            ",6,Hindi - BHASHA BHARTI-6,29188,11586,39,61
54,"                                54
                            ",6,Hindi - GANIT -6,29188,11586,39,61
55,"                                55
                            ",6,Hindi - Language-English READER ( GENERAL SERIES) -6,29188,11545,39,61
56,"                                56
                            ",6,Hindi - SAHAYAK WACHAN-6,29188,11545,39,61
57,"                                57
                            ",6,Hindi - SCIENCE-6 ,29188,11545,39,61
