,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1,15, , , 
2,"                                2
                            ",1,English - Maths-1,15, , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2,15, , , 
4,"                                4
                            ",2,English - Maths-2,15, , , 
5,"                                5
                            ",3,English - EVS-3,2260, , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3,15, , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,2260, , , 
8,"                                8
                            ",3,English - Maths-3,15, , , 
9,"                                9
                            ",4,English - EVS-4,2166, , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,2260, , , 
11,"                                11
                            ",4,English - Maths-4,2166, , , 
12,"                                12
                            ",5,English - EVS-5,1983, , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,2166, , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,1983, , , 
15,"                                15
                            ",5,English - Maths-5,1983, , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,1983, , , 
17,"                                17
                            ",6,English - Maths-6,2219, , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,1660, , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,2219, , , 
20,"                                20
                            ",6,English - SCIENCE-6 ,2219, , , 
21,"                                21
                            ",6,English - Soc. Science-6,2219, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,1660, , , 
23,"                                23
                            ",7,English - Maths-7,1040, , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,1660, , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,1660, , , 
26,"                                26
                            ",7,English - Science-7,1040, , , 
27,"                                27
                            ",7,English - Social Science-7,1040, , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,1040, , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,905, , , 
30,"                                30
                            ",8,English - Maths-8,1040, , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,905, , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,905, , , 
33,"                                33
                            ",8,English - Science-8,1040, , , 
34,"                                34
                            ",8,English - Social Science-8,1040, , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,25061,18347,73,27
36,"                                36
                            ",1,Hindi - GANIT -1,25061,18347,73,27
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,25061,18347,73,27
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,28159,24805,88,12
39,"                                39
                            ",2,Hindi - GANIT -2,28159,24805,88,12
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,28159,24805,88,12
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,34098,30926,90,10
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,34098,30001,87,13
43,"                                43
                            ",3,Hindi - GANIT -3,34098,30926,90,10
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,34098,30926,90,10
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,34789,32164,92,8
