,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1,90, , , 
2,"                                2
                            ",1,English - Maths-1,96, , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2,80, , , 
4,"                                4
                            ",2,English - Maths-2,225, , , 
5,"                                5
                            ",3,English - EVS-3,70, , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3,210, , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,70, , , 
8,"                                8
                            ",3,English - Maths-3,204, , , 
9,"                                9
                            ",4,English - EVS-4,60, , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,70, , , 
11,"                                11
                            ",4,English - Maths-4,60, , , 
12,"                                12
                            ",5,English - EVS-5,48, , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,60, , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,48, , , 
15,"                                15
                            ",5,English - Maths-5,48, , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,48, , , 
17,"                                17
                            ",6,English - Maths-6,48, , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,50, , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,50, , , 
20,"                                20
                            ",6,English - SCIENCE-6 ,50, , , 
21,"                                21
                            ",6,English - Soc. Science-6,50, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,80, , , 
23,"                                23
                            ",7,English - Maths-7,80, , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,80, , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,80, , , 
26,"                                26
                            ",7,English - Science-7,80, , , 
27,"                                27
                            ",7,English - Social Science-7,135, , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,135, , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,75, , , 
30,"                                30
                            ",8,English - Maths-8,135, , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,135, , , 
