,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1,294, , , 
2,"                                2
                            ",1,English - Maths-1,275, , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2,285, , , 
4,"                                4
                            ",2,English - Maths-2,287, , , 
5,"                                5
                            ",3,English - EVS-3,443,65,14,86
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3,300, , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,443,65,14,86
8,"                                8
                            ",3,English - Maths-3,275, , , 
9,"                                9
                            ",4,English - EVS-4,371,50,13,87
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,443,65,14,86
11,"                                11
                            ",4,English - Maths-4,371,50,13,87
12,"                                12
                            ",5,English - EVS-5,330,60,18,82
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,371,50,13,87
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,330,60,18,82
15,"                                15
                            ",5,English - Maths-5,330,60,18,82
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,330,60,18,82
17,"                                17
                            ",6,English - Maths-6,294,50,17,83
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,289,40,13,87
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,294,50,17,83
20,"                                20
                            ",6,English - SCIENCE-6 ,294,50,17,83
21,"                                21
                            ",6,English - Soc. Science-6,294,50,17,83
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,289,40,13,87
23,"                                23
                            ",7,English - Maths-7,185,30,16,84
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,289,40,13,87
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,289,40,13,87
26,"                                26
                            ",7,English - Science-7,185,30,16,84
27,"                                27
                            ",7,English - Social Science-7,185,30,16,84
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,185,30,16,84
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,170,40,23,77
30,"                                30
                            ",8,English - Maths-8,185,30,16,84
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,170,40,23,77
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,170,40,23,77
33,"                                33
                            ",8,English - Science-8,185,5833,3152,-3052
34,"                                34
                            ",8,English - Social Science-8,185,30,16,84
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,43478,12200,28,72
36,"                                36
                            ",1,Hindi - GANIT -1,43478,12200,28,72
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,43478,12200,28,72
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,42498,11759,27,73
39,"                                39
                            ",2,Hindi - GANIT -2,42498,11759,27,73
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,42498,11759,27,73
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,42802,12251,28,72
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,42802,6150,14,86
43,"                                43
                            ",3,Hindi - GANIT -3,42802,12251,28,72
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,42802,12251,28,72
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,43202,16818,38,62
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,43202,16818,38,62
47,"                                47
                            ",4,Hindi - GANIT -4,43202,11661,26,74
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,43202,11661,26,74
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),39080,15111,38,62
50,"                                50
                            ",5,Hindi - ENVIRONMENTAL STUDY-5,39080,10251,26,74
