,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
2,"                                2
                            ",1,English - Maths-1, , , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3, , , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3, , , , 
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4, , , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4, , , , 
11,"                                11
                            ",4,English - Maths-4, , , , 
12,"                                12
                            ",5,English - EVS-5, , , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5, , , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5, , , , 
15,"                                15
                            ",5,English - Maths-5, , , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6, , , , 
17,"                                17
                            ",6,English - Maths-6, , , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6, , , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6, , , , 
20,"                                20
                            ",6,English - SCIENCE-6 , , , , 
21,"                                21
                            ",6,English - Soc. Science-6, , , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7, , , , 
23,"                                23
                            ",7,English - Maths-7, , , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7, , , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7, , , , 
26,"                                26
                            ",7,English - Science-7, , , , 
27,"                                27
                            ",7,English - Social Science-7, , , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8, , , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8, , , , 
30,"                                30
                            ",8,English - Maths-8, , , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8, , , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8, , , , 
33,"                                33
                            ",8,English - Science-8, , , , 
34,"                                34
                            ",8,English - Social Science-8, , , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,6344,15784,248,-148
36,"                                36
                            ",1,Hindi - GANIT -1,6344,6074,95,5
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,6344,7017,110,-10
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,5939,13465,226,-126
39,"                                39
                            ",2,Hindi - GANIT -2,6939,14465,208,-108
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,6999,11925,170,-70
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,7590,12958,170,-70
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,7717,13086,169,-69
43,"                                43
                            ",3,Hindi - GANIT -3,7712,13081,169,-69
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,7782,13316,171,-71
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,6475,10235,158,-58
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,5675,11095,195,-95
47,"                                47
                            ",4,Hindi - GANIT -4,6555,11975,182,-82
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,6675,12260,183,-83
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),14796,14796,100,0
