,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
2,"                                2
                            ",1,English - Maths-1, , , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3, , , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3, , , , 
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4, , , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4, , , , 
11,"                                11
                            ",4,English - Maths-4, , , , 
12,"                                12
                            ",5,English - EVS-5, , , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5, , , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5, , , , 
15,"                                15
                            ",5,English - Maths-5, , , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6, , , , 
17,"                                17
                            ",6,English - Maths-6, , , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6, , , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6, , , , 
20,"                                20
                            ",6,English - SCIENCE-6 , , , , 
21,"                                21
                            ",6,English - Soc. Science-6, , , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7, , , , 
23,"                                23
                            ",7,English - Maths-7, , , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7, , , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7, , , , 
26,"                                26
                            ",7,English - Science-7, , , , 
27,"                                27
                            ",7,English - Social Science-7, , , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8, , , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8, , , , 
30,"                                30
                            ",8,English - Maths-8, , , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8, , , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8, , , , 
33,"                                33
                            ",8,English - Science-8, , , , 
34,"                                34
                            ",8,English - Social Science-8, , , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,25746,24742,96,4
36,"                                36
                            ",1,Hindi - GANIT -1,32646,25246,77,23
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,25746,20911,81,19
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,30188,24466,81,19
39,"                                39
                            ",2,Hindi - GANIT -2,34748,35745,102,-2
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,34861,31887,91,9
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,42764,37547,87,13
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,40227,39981,99,1
43,"                                43
                            ",3,Hindi - GANIT -3,42764,41327,96,4
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,42764,44871,104,-4
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,42559,38326,90,10
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,42767,41058,96,4
47,"                                47
                            ",4,Hindi - GANIT -4,42967,42198,98,2
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,42767,42331,98,2
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),39972,33928,84,16
