,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
2,"                                2
                            ",1,English - Maths-1, , , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3,350, , , 
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,350, , , 
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4,170, , , 
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,350, , , 
11,"                                11
                            ",4,English - Maths-4,170, , , 
12,"                                12
                            ",5,English - EVS-5,160, , , 
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,170, , , 
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,160, , , 
15,"                                15
                            ",5,English - Maths-5,160, , , 
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,160, , , 
17,"                                17
                            ",6,English - Maths-6,140, , , 
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,100, , , 
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,140, , , 
20,"                                20
                            ",6,English - SCIENCE-6 ,140, , , 
21,"                                21
                            ",6,English - Soc. Science-6,140, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,100, , , 
23,"                                23
                            ",7,English - Maths-7,10, , , 
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,100, , , 
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,100, , , 
26,"                                26
                            ",7,English - Science-7,10, , , 
27,"                                27
                            ",7,English - Social Science-7,10, , , 
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,10, , , 
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,10, , , 
30,"                                30
                            ",8,English - Maths-8,10, , , 
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,10, , , 
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,10, , , 
33,"                                33
                            ",8,English - Science-8,10, , , 
34,"                                34
                            ",8,English - Social Science-8,10, , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,30875,11240,36,64
36,"                                36
                            ",1,Hindi - GANIT -1,30875,8840,28,72
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,30875,8840,28,72
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,30175,9147,30,70
39,"                                39
                            ",2,Hindi - GANIT -2,30175,9147,30,70
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,30175,9147,30,70
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,27548,8351,30,70
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,27548,9791,35,65
43,"                                43
                            ",3,Hindi - GANIT -3,27548,8351,30,70
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,27548,5861,21,79
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,25878,8469,32,68
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,25878,8469,32,68
47,"                                47
                            ",4,Hindi - GANIT -4,25878,8469,32,68
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,25878,8469,32,68
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),22815,3975,17,83
