,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1,160, , , 
2,"                                2
                            ",1,English - Maths-1,135, , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2,105, , , 
4,"                                4
                            ",2,English - Maths-2,90, , , 
5,"                                5
                            ",3,English - EVS-3,210,510,242,-142
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3,88, , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,210,510,242,-142
8,"                                8
                            ",3,English - Maths-3,49, , , 
9,"                                9
                            ",4,English - EVS-4,190,450,236,-136
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,210,500,238,-138
11,"                                11
                            ",4,English - Maths-4,190,450,236,-136
12,"                                12
                            ",5,English - EVS-5,155,395,254,-154
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,190,450,236,-136
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,155,155,100,0
15,"                                15
                            ",5,English - Maths-5,155,395,254,-154
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,155,395,254,-154
17,"                                17
                            ",6,English - Maths-6,130,210,161,-61
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,125,225,180,-80
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,130,210,161,-61
20,"                                20
                            ",6,English - SCIENCE-6 ,130,210,161,-61
21,"                                21
                            ",6,English - Soc. Science-6,130, , , 
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,125,225,180,-80
23,"                                23
                            ",7,English - Maths-7,145,210,144,-44
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,125,225,180,-80
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,125,55,44,56
26,"                                26
                            ",7,English - Science-7,145,89,61,39
27,"                                27
                            ",7,English - Social Science-7,145,210,144,-44
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,145,130,89,11
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,110,165,150,-50
30,"                                30
                            ",8,English - Maths-8,145,77,53,47
