,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
0,,,,,,,
1,"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
2,"                                2
                            ",1,English - Maths-1, , , , 
3,"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
4,"                                4
                            ",2,English - Maths-2, , , , 
5,"                                5
                            ",3,English - EVS-3,548,520,94,6
6,"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
7,"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3,548,520,94,6
8,"                                8
                            ",3,English - Maths-3, , , , 
9,"                                9
                            ",4,English - EVS-4,545,525,96,4
10,"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4,548,520,94,6
11,"                                11
                            ",4,English - Maths-4,545,525,96,4
12,"                                12
                            ",5,English - EVS-5,480,465,96,4
13,"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5,545,525,96,4
14,"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5,485,470,96,4
15,"                                15
                            ",5,English - Maths-5,485,470,96,4
16,"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6,485,470,96,4
17,"                                17
                            ",6,English - Maths-6,485,465,95,5
18,"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6,485,470,96,4
19,"                                19
                            ",6,English - Sanskrit (Surabhi) -6,485,465,95,5
20,"                                20
                            ",6,English - SCIENCE-6 ,485,465,95,5
21,"                                21
                            ",6,English - Soc. Science-6,490,470,95,5
22,"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7,485,470,96,4
23,"                                23
                            ",7,English - Maths-7,365,715,195,-95
24,"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7,480,465,96,4
25,"                                25
                            ",7,English - Sanskrit (Surabhi)-7,480,465,96,4
26,"                                26
                            ",7,English - Science-7,365,365,100,0
27,"                                27
                            ",7,English - Social Science-7,365,365,100,0
28,"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8,365,365,100,0
29,"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8,365,365,100,0
30,"                                30
                            ",8,English - Maths-8,365,365,100,0
31,"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8,365,365,100,0
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,365,365,100,0
33,"                                33
                            ",8,English - Science-8,365,365,100,0
34,"                                34
                            ",8,English - Social Science-8,365,715,195,-95
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,19334,7287,37,63
36,"                                36
                            ",1,Hindi - GANIT -1,19334,7287,37,63
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,19334,7287,37,63
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,19325,7779,40,60
39,"                                39
                            ",2,Hindi - GANIT -2,19325,7779,40,60
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,19325,7779,40,60
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,21365,8760,41,59
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,21365,8760,41,59
43,"                                43
                            ",3,Hindi - GANIT -3,21365,8760,41,59
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,21365,8760,41,59
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,21277,9192,43,57
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,21277,9192,43,57
47,"                                47
                            ",4,Hindi - GANIT -4,21277,9192,43,57
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,21277,9192,43,57
