,,                 TOTAL SCHOOLS,,,,,          MAPPED- SCHOOLS,,,,,  NON - MAPPED SCHOOLS,,,,,,MAPPED- SCHOOL PERCENTAGE,,,
No,District,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"
                                        1
                                    ",GWALIOR,2115,1424,565,80,59,2108,1424,564,74,59,7,0,1,6,0,99.67,100,99.82,92.5,100
"
                                        2
                                    ",NEEMUCH,1360,875,373,54,65,1351,873,373,47,65,9,2,0,7,0,99.34,99.77,100,87.04,100
"
                                        3
                                    ",SINGROULI,2154,1508,508,80,67,2139,1508,508,65,67,15,0,0,15,0,99.3,100,100,81.25,100
"
                                        4
                                    ",MANDSAUR,1991,1289,545,84,82,1977,1287,544,73,82,14,2,1,11,0,99.3,99.84,99.82,86.9,100
"
                                        5
                                    ",RAISEN,2693,1861,658,117,70,2674,1861,657,99,70,19,0,1,18,0,99.29,100,99.85,84.62,100
"
                                        6
                                    ",GUNA,2383,1677,586,77,50,2366,1675,586,63,49,17,2,0,14,1,99.29,99.88,100,81.82,98
"
                                        7
                                    ",BARWANI,3195,2362,684,92,65,3171,2356,677,83,63,24,6,7,9,2,99.25,99.75,98.98,90.22,96.92
"
                                        8
                                    ",NARSINGHPUR,1886,1230,498,95,77,1871,1230,498,80,77,15,0,0,15,0,99.2,100,100,84.21,100
"
                                        9
                                    ",PANNA,2456,1619,714,72,61,2436,1618,707,61,60,20,1,7,11,1,99.19,99.94,99.02,84.72,98.36
"
                                        10
                                    ",INDORE,1860,1114,592,65,95,1845,1108,591,57,95,15,6,1,8,0,99.19,99.46,99.83,87.69,100
"
                                        11
                                    ",JABALPUR,2445,1606,654,101,102,2425,1604,652,87,100,20,2,2,14,2,99.18,99.88,99.69,86.14,98.04
"
                                        12
                                    ",SATNA,3894,2687,940,142,153,3860,2686,938,119,145,34,1,2,23,8,99.13,99.96,99.79,83.8,94.77
"
                                        13
                                    ",DAMOH,2213,1472,587,81,84,2193,1467,586,67,84,20,5,1,14,0,99.1,99.66,99.83,82.72,100
"
                                        14
                                    ",CHHATARPUR,2910,1961,759,116,95,2883,1961,759,91,93,27,0,0,25,2,99.07,100,100,78.45,97.89
"
                                        15
                                    ",SHEOPUR,1230,874,283,43,34,1218,874,283,31,34,12,0,0,12,0,99.02,100,100,72.09,100
"
                                        16
                                    ",CHHINDWARA,4087,2685,1043,177,198,4046,2685,1026,161,190,41,0,17,16,8,99,100,98.37,90.96,95.96
"
                                        17
                                    ",SEHORE,2333,1443,678,127,108,2309,1436,675,114,107,24,7,3,13,1,98.97,99.51,99.56,89.76,99.07
"
                                        18
                                    ",SHAJAPUR,1441,890,444,53,64,1426,890,444,41,61,15,0,0,12,3,98.96,100,100,77.36,95.31
"
                                        19
                                    ",BETUL,3190,2032,888,156,128,3154,2027,879,134,128,36,5,9,22,0,98.87,99.75,98.99,85.9,100
"
                                        20
                                    ",BHIND,2657,1751,742,109,68,2627,1743,740,90,67,30,8,2,19,1,98.87,99.54,99.73,82.57,98.53
"
                                        21
                                    ",ANUPPUR,1725,1191,394,69,73,1703,1186,392,54,73,22,5,2,15,0,98.72,99.58,99.49,78.26,100
"
                                        22
                                    ",SEONI,3096,2125,753,127,99,3054,2123,743,102,94,42,2,10,25,5,98.64,99.91,98.67,80.31,94.95
"
                                        23
                                    ",MANDLA,2912,2093,614,131,82,2871,2085,607,105,82,41,8,7,26,0,98.59,99.62,98.86,80.15,100
"
                                        24
                                    ",KHARGONE,3707,2614,842,162,103,3651,2600,830,135,100,56,14,12,27,3,98.49,99.46,98.57,83.33,97.09
"
                                        25
                                    ",DHAR,4461,3294,875,181,130,4392,3290,856,143,122,69,4,19,38,8,98.45,99.88,97.83,79.01,93.85
"
                                        26
                                    ",RAJGARH,2867,1917,747,141,76,2821,1908,744,112,71,46,9,3,29,5,98.4,99.53,99.6,79.43,93.42
"
                                        27
                                    ",REWA,4374,3175,952,133,131,4301,3147,939,104,128,73,28,13,29,3,98.33,99.12,98.63,78.2,97.71
"
                                        28
                                    ",JHABUA,2562,1991,429,89,58,2518,1980,425,65,53,44,11,4,24,5,98.28,99.45,99.07,73.03,91.38
"
                                        29
                                    ",KATNI,2020,1327,529,101,79,1984,1324,527,71,78,36,3,2,30,1,98.22,99.77,99.62,70.3,98.73
"
                                        30
                                    ",DATIA,1368,870,384,84,39,1343,869,384,61,38,25,1,0,23,1,98.17,99.89,100,72.62,97.44
"
                                        31
                                    ",DEWAS,2339,1544,631,95,85,2296,1536,623,73,80,43,8,8,22,5,98.16,99.48,98.73,76.84,94.12
"
                                        32
                                    ",SAGAR,3408,2187,941,194,127,3344,2164,937,157,127,64,23,4,37,0,98.12,98.95,99.57,80.93,100
"
                                        33
                                    ",BALAGHAT,3046,2010,784,128,136,2988,2000,764,110,126,58,10,20,18,10,98.1,99.5,97.45,85.94,92.65
"
                                        34
                                    ",RATLAM,2401,1664,567,100,82,2354,1655,561,73,77,47,9,6,27,5,98.04,99.46,98.94,73,93.9
"
                                        35
                                    ",DINDORI,2014,1425,454,85,55,1972,1416,441,66,54,42,9,13,19,1,97.91,99.37,97.14,77.65,98.18
"
                                        36
                                    ",BHOPAL,1312,817,375,59,73,1284,814,372,39,71,28,3,3,20,2,97.87,99.63,99.2,66.1,97.26
"
                                        37
                                    ",TIKAMGARH,2574,1778,601,127,82,2519,1775,600,78,80,55,3,1,49,2,97.86,99.83,99.83,61.42,97.56
"
                                        38
                                    ",KHANDWA,1823,1157,495,83,92,1783,1149,493,55,90,40,8,2,28,2,97.81,99.31,99.6,66.27,97.83
"
                                        39
                                    ",VIDISHA,2887,1917,776,122,88,2821,1882,768,100,87,66,35,8,22,1,97.71,98.17,98.97,81.97,98.86
"
                                        40
                                    ",UJJAIN,2390,1477,730,97,103,2334,1459,720,70,101,56,18,10,27,2,97.66,98.78,98.63,72.16,98.06
"
                                        41
                                    ",SIDHI,2551,1707,643,107,103,2491,1682,641,75,102,60,25,2,32,1,97.65,98.54,99.69,70.09,99.03
"
                                        42
                                    ",SHIVPURI,3164,2254,703,152,67,3085,2240,703,87,67,79,14,0,65,0,97.5,99.38,100,57.24,100
"
                                        43
                                    ",HOSHANGABAD,1901,1186,551,95,79,1853,1176,535,75,77,48,10,16,20,2,97.48,99.16,97.1,78.95,97.47
"
                                        44
                                    ",ASHOKNAGAR,1582,1106,385,67,31,1542,1102,384,33,30,40,4,1,34,1,97.47,99.64,99.74,49.25,96.77
"
                                        45
                                    ",SHAHDOL,2301,1627,498,97,86,2242,1611,493,62,83,59,16,5,35,3,97.44,99.02,99,63.92,96.51
"
                                        46
                                    ",HARDA,906,543,284,53,34,882,534,281,42,33,24,9,3,11,1,97.35,98.34,98.94,79.25,97.06
"
                                        47
                                    ",BURHANPUR,826,519,219,41,51,803,511,211,34,51,23,8,8,7,0,97.22,98.46,96.35,82.93,100
"
                                        48
                                    ",MORENA,2567,1839,557,94,87,2488,1797,554,67,80,79,42,3,27,7,96.92,97.72,99.46,71.28,91.95
"
                                        49
                                    ",ALIRAJPUR,2431,1950,374,70,39,2353,1911,361,51,32,78,39,13,19,7,96.79,98,96.52,72.86,82.05
"
                                        50
                                    ",UMARIA,1309,802,384,89,52,1263,801,376,55,49,46,1,8,34,3,96.49,99.88,97.92,61.8,94.23
"
                                        51
                                    ",AGAR MALWA,1004,647,296,36,27,0,0,0,0,0,1004,647,296,36,27,0,0,0,0, 
 ,Total,122321,83113,30508,5130,4174,119414,82040,29952,3991,4032,2907,1073,556,1139,142, , , , , 
