,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",MORENA,AMBAH,345,245,74,13,13,338,241,74,13,11,7,4,0,0,2,97.97,98.37,100,100,84.62
"                                            2
                                        ",MORENA,PORSA,379,283,72,14,10,371,279,72,10,10,8,4,0,4,0,97.89,98.59,100,71.43,100
"                                            3
                                        ",MORENA,SABALGARH,358,249,82,11,16,347,245,80,8,16,11,4,2,3,0,96.93,98.39,97.56,72.73,100
"                                            4
                                        ",MORENA,MORENA,548,368,134,26,20,530,360,134,21,18,18,8,0,5,2,96.72,97.83,100,80.77,90
"                                            5
                                        ",MORENA,JOURA,351,257,74,10,10,336,247,74,7,8,15,10,0,3,2,95.73,96.11,100,70,80
"                                            6
                                        ",MORENA,PAHARGARH,312,230,63,11,8,298,224,62,5,8,14,6,1,6,0,95.51,97.39,98.41,45.45,100
"                                            7
                                        ",MORENA,KAILARAS,284,207,58,9,10,268,201,58,3,9,16,6,0,6,1,94.37,97.1,100,33.33,90
 , ,Total,2577,1839,557,94,87,2488,1797,554,67,80,89,42,3,27,7, , , , , 
