,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",KHANDWA,BALADI,98,66,26,2,4,97,66,26,1,4,1,0,0,1,0,98.98,100,100,50,100
"                                            2
                                        ",KHANDWA,PANDHANA,358,240,90,13,15,353,240,90,8,15,5,0,0,5,0,98.6,100,100,61.54,100
"                                            3
                                        ",KHANDWA,PUNASA,335,205,101,13,16,329,205,101,8,16,6,0,0,5,0,98.21,100,100,61.54,100
"                                            4
                                        ",KHANDWA,KHANDWA,272,161,77,18,16,266,161,77,14,16,6,0,0,4,0,97.79,100,100,77.78,100
"                                            5
                                        ",KHANDWA,HARSUD,175,114,46,5,10,171,114,46,3,8,4,0,0,2,2,97.71,100,100,60,80
"                                            6
                                        ",KHANDWA,CHHAIGAONMAKHAN,208,131,58,13,6,201,131,58,7,6,7,0,0,6,0,96.63,100,100,53.85,100
"                                            7
                                        ",KHANDWA,KHALWA,381,240,97,19,25,366,232,95,14,25,15,8,2,5,0,96.06,96.67,97.94,73.68,100
 , ,Total,1827,1157,495,83,92,1783,1149,493,55,90,44,8,2,28,2, , , , , 
