,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",MANDLA,NAINPUR,384,273,81,17,13,384,273,81,17,13,0,0,0,0,0,100,100,100,100,100
"                                            2
                                        ",MANDLA,BICHHIA,476,342,100,20,14,470,341,99,18,14,6,1,1,2,0,98.74,99.71,99,90,100
"                                            3
                                        ",MANDLA,GHUGHRI,293,223,54,10,6,289,222,53,8,6,4,1,1,2,0,98.63,99.55,98.15,80,100
"                                            4
                                        ",MANDLA,NIWAS,208,135,55,10,8,205,135,55,8,8,3,0,0,2,0,98.56,100,100,80,100
"                                            5
                                        ",MANDLA,MOHGAON,236,171,47,13,5,231,171,46,10,5,5,0,1,3,0,97.88,100,97.87,76.92,100
"                                            6
                                        ",MANDLA,NARAYANGANJ,272,195,58,13,6,266,194,57,9,6,6,1,1,4,0,97.79,99.49,98.28,69.23,100
"                                            7
                                        ",MANDLA,BEEJADANDI,265,187,59,10,9,259,187,58,7,9,6,0,1,3,0,97.74,100,98.31,70,100
"                                            8
                                        ",MANDLA,MANDLA,441,303,100,24,14,431,299,99,19,14,10,4,1,5,0,97.73,98.68,99,79.17,100
"                                            9
                                        ",MANDLA,MAWAI,345,264,60,14,7,337,263,59,9,7,8,1,1,5,0,97.68,99.62,98.33,64.29,100
 , ,Total,2920,2093,614,131,82,2872,2085,607,105,82,48,8,7,26,0, , , , , 
