,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",BALAGHAT,BAIHAR,324,223,81,8,12,321,222,80,8,11,3,1,1,0,1,99.07,99.55,98.77,100,91.67
"                                            2
                                        ",BALAGHAT,KHAIRLANJI,229,142,63,14,10,225,142,63,12,10,4,0,0,2,0,98.25,100,100,85.71,100
"                                            3
                                        ",BALAGHAT,KATANGI,328,186,116,17,9,322,186,116,14,9,6,0,0,3,0,98.17,100,100,82.35,100
"                                            4
                                        ",BALAGHAT,WARA SEONI,261,164,75,11,11,256,164,74,8,10,5,0,1,3,1,98.08,100,98.67,72.73,90.91
"                                            5
                                        ",BALAGHAT,LAL BURRA,287,178,75,12,22,281,177,74,9,22,6,1,1,3,0,97.91,99.44,98.67,75,100
"                                            6
                                        ",BALAGHAT,BALAGHAT,313,206,73,13,21,306,206,71,13,18,7,0,2,0,3,97.76,100,97.26,100,85.71
"                                            7
                                        ",BALAGHAT,PARASWADA,298,205,68,12,13,291,203,66,11,12,7,2,2,1,1,97.65,99.02,97.06,91.67,92.31
"                                            8
                                        ",BALAGHAT,BIRSA,411,296,85,14,16,400,296,79,13,12,11,0,6,1,4,97.32,100,92.94,92.86,75
"                                            9
                                        ",BALAGHAT,LANJI,315,221,69,13,12,305,217,65,12,12,10,4,4,1,0,96.83,98.19,94.2,92.31,100
"                                            10
                                        ",BALAGHAT,KIRNAPUR,292,189,79,14,10,282,187,76,10,10,10,2,3,4,0,96.58,98.94,96.2,71.43,100
 , ,Total,3058,2010,784,128,136,2989,2000,764,110,126,69,10,20,18,10, , , , , 
