,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",CHHATARPUR,RAJNAGAR,441,307,110,11,13,436,307,110,8,13,5,0,0,3,0,98.87,100,100,72.73,100
"                                            2
                                        ",CHHATARPUR,Chhatarpur/IshaNagar,463,308,121,16,18,457,308,121,15,18,6,0,0,1,0,98.7,100,100,93.75,100
"                                            3
                                        ",CHHATARPUR,BADAMALAHARA,405,279,97,17,12,399,279,97,13,12,6,0,0,4,0,98.52,100,100,76.47,100
"                                            4
                                        ",CHHATARPUR,BIJAWAR,342,233,88,8,13,336,233,88,4,13,6,0,0,4,0,98.25,100,100,50,100
"                                            5
                                        ",CHHATARPUR,Barigarh/Gaurihar,336,218,92,17,9,330,218,92,14,9,6,0,0,3,0,98.21,100,100,82.35,100
"                                            6
                                        ",CHHATARPUR,LAUNDI,388,272,91,16,9,381,272,91,10,9,7,0,0,6,0,98.2,100,100,62.5,100
"                                            7
                                        ",CHHATARPUR,NOWGONG,367,231,99,23,14,360,231,99,21,13,7,0,0,2,1,98.09,100,100,91.3,92.86
"                                            8
                                        ",CHHATARPUR,BUXWAHA,189,113,61,8,7,184,113,61,6,6,5,0,0,2,1,97.35,100,100,75,85.71
 , ,Total,2931,1961,759,116,95,2883,1961,759,91,93,48,0,0,25,2, , , , , 
