,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",HOSHANGABAD,SIVNI MAALVA ,377,236,110,17,14,372,236,110,13,14,5,0,0,4,0,98.67,100,100,76.47,100
"                                            2
                                        ",HOSHANGABAD,BABAI,250,160,67,14,9,245,159,66,12,9,5,1,1,2,0,98,99.38,98.51,85.71,100
"                                            3
                                        ",HOSHANGABAD,KESLA,294,181,77,21,15,287,180,76,19,14,7,1,1,2,1,97.62,99.45,98.7,90.48,93.33
"                                            4
                                        ",HOSHANGABAD,HOSHANGABAD,276,158,81,17,20,269,156,81,16,19,7,2,0,1,1,97.46,98.73,100,94.12,95
"                                            5
                                        ",HOSHANGABAD,SOHAGPUR,253,160,76,9,8,243,158,74,5,8,10,2,2,4,0,96.05,98.75,97.37,55.56,100
"                                            6
                                        ",HOSHANGABAD,PIPARIYA,237,149,73,7,8,226,145,67,6,8,11,4,6,1,0,95.36,97.32,91.78,85.71,100
"                                            7
                                        ",HOSHANGABAD,BANKHEDI,224,142,67,10,5,212,142,61,5,5,12,0,6,5,0,94.64,100,91.04,50,100
 , ,Total,1911,1186,551,95,79,1854,1176,535,76,77,57,10,16,19,2, , , , , 
