,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",SHIVPURI,PICHHORE,410,306,75,19,10,402,306,75,11,10,8,0,0,8,0,98.05,100,100,57.89,100
"                                            2
                                        ",SHIVPURI,KOLARAS,357,252,87,11,7,350,252,87,5,7,7,0,0,6,0,98.04,100,100,45.45,100
"                                            3
                                        ",SHIVPURI,SHIVPURI,415,295,91,18,11,406,295,91,12,11,9,0,0,6,0,97.83,100,100,66.67,100
"                                            4
                                        ",SHIVPURI,NARVAR,320,218,78,17,7,312,218,78,10,7,8,0,0,7,0,97.5,100,100,58.82,100
"                                            5
                                        ",SHIVPURI,KHANIYADHANA,561,419,104,31,7,545,419,104,18,7,16,0,0,13,0,97.15,100,100,58.06,100
"                                            6
                                        ",SHIVPURI,BADARWAS,346,226,93,19,8,335,222,93,13,8,11,4,0,6,0,96.82,98.23,100,68.42,100
"                                            7
                                        ",SHIVPURI,KARAIRA,333,236,74,15,8,321,233,74,6,8,12,3,0,9,0,96.4,98.73,100,40,100
"                                            8
                                        ",SHIVPURI,POHRI,434,302,101,22,9,414,295,101,12,9,20,7,0,10,0,95.39,97.68,100,54.55,100
 , ,Total,3176,2254,703,152,67,3085,2240,703,87,67,91,14,0,65,0, , , , , 
