,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",SAGAR,DEORI,325,218,86,14,7,322,216,86,13,7,3,2,0,1,0,99.08,99.08,100,92.86,100
"                                            2
                                        ",SAGAR,JAISINAGAR,234,153,67,10,4,230,153,67,6,4,4,0,0,4,0,98.29,100,100,60,100
"                                            3
                                        ",SAGAR,KESLI,275,172,86,11,6,270,171,86,9,6,5,1,0,2,0,98.18,99.42,100,81.82,100
"                                            4
                                        ",SAGAR,BINA,274,173,70,18,13,268,172,70,14,13,6,1,0,4,0,97.81,99.42,100,77.78,100
"                                            5
                                        ",SAGAR,KHURAI,307,196,85,16,10,299,196,85,11,10,8,0,0,5,0,97.39,100,100,68.75,100
"                                            6
                                        ",SAGAR,REHLI,426,280,110,18,18,414,276,110,14,18,12,4,0,4,0,97.18,98.57,100,77.78,100
"                                            7
                                        ",SAGAR,RAHATGARH,345,207,106,21,11,334,203,106,19,11,11,4,0,2,0,96.81,98.07,100,90.48,100
"                                            8
                                        ",SAGAR,SAGAR,457,270,126,31,30,441,262,125,29,30,16,8,1,2,0,96.5,97.04,99.21,93.55,100
"                                            9
                                        ",SAGAR,MALTHON,278,184,71,11,12,268,184,69,7,12,10,0,2,4,0,96.4,100,97.18,63.64,100
"                                            10
                                        ",SAGAR,SHAHGARH,251,162,60,21,8,241,162,60,19,8,10,0,0,2,0,96.02,100,100,90.48,100
"                                            11
                                        ",SAGAR,BANDA,277,172,74,23,8,258,169,73,17,8,19,3,1,6,0,93.14,98.26,98.65,73.91,100
 , ,Total,3449,2187,941,194,127,3345,2164,937,158,127,104,23,4,36,0, , , , , 
