,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",UJJAIN,TARANA,443,279,131,23,10,437,279,131,19,10,6,0,0,4,0,98.65,100,100,82.61,100
"                                            2
                                        ",UJJAIN,BARNAGAR,411,252,122,19,18,405,252,122,17,18,6,0,0,2,0,98.54,100,100,89.47,100
"                                            3
                                        ",UJJAIN,GHATTIA,242,157,67,10,8,238,157,67,8,8,4,0,0,2,0,98.35,100,100,80,100
"                                            4
                                        ",UJJAIN,MAHIDPUR,423,272,122,15,14,415,272,122,8,14,8,0,0,7,0,98.11,100,100,53.33,100
"                                            5
                                        ",UJJAIN,KHACHROD,474,284,154,14,22,463,284,154,7,22,11,0,0,7,0,97.68,100,100,50,100
"                                            6
                                        ",UJJAIN,UJJAIN RURAL,257,153,85,10,9,250,152,84,7,9,7,1,1,3,0,97.28,99.35,98.82,70,100
"                                            7
                                        ",UJJAIN,UJJAIN URBAN,157,80,49,6,22,126,63,40,4,20,31,17,9,2,2,80.25,78.75,81.63,66.67,90.91
 , ,Total,2407,1477,730,97,103,2334,1459,720,70,101,73,18,10,27,2, , , , , 
