,,,Total Schools,,,,,Mapped Schools,,,,,Non-Mapped Schools,,,,,Mapped Schools Percentage,,,,
No,District,Block,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total,PS,MS,HS,HSS,Total%,PS%,MS%,HS%,HSS%
"                                            1
                                        ",VIDISHA,KURWAI,347,232,94,15,6,342,229,94,13,6,5,3,0,2,0,98.56,98.71,100,86.67,100
"                                            2
                                        ",VIDISHA,BASODA,491,328,129,15,19,480,323,129,12,19,11,5,0,3,0,97.76,98.48,100,80,100
"                                            3
                                        ",VIDISHA,GYARASPUR,311,205,82,17,7,304,205,80,14,7,7,0,2,3,0,97.75,100,97.56,82.35,100
"                                            4
                                        ",VIDISHA,NATERAN,411,277,102,18,14,400,275,101,14,14,11,2,1,4,0,97.32,99.28,99.02,77.78,100
"                                            5
                                        ",VIDISHA,VIDISHA,478,308,124,24,22,464,307,121,17,22,14,1,3,7,0,97.07,99.68,97.58,70.83,100
"                                            6
                                        ",VIDISHA,LATERI,365,241,101,14,9,352,229,101,13,9,13,12,0,1,0,96.44,95.02,100,92.86,100
"                                            7
                                        ",VIDISHA,SIRONJ,500,326,144,19,11,479,314,142,17,10,21,12,2,2,1,95.8,96.32,98.61,89.47,90.91
 , ,Total,2903,1917,776,122,88,2821,1882,768,100,87,82,35,8,22,1, , , , , 
